PCI,R,AR,YSM,RT,AT,AADT,PC_结构型,PC_环境型,PC_效率型,S,cluster,priority_raw,priority
37.84,18.99,93.37,12,2,2,15505,1.0009115253659056,1.8442521452741838,0.31858743041198717,1.0613981686005882,2,3,中
100.0,12.49,37.82,2,3,1,37355,-2.115987414757755,-1.7542630761695497,2.524780153013406,-0.47484788364455643,3,4,低
41.53,18.78,75.25,8,1,2,1991,0.8588873914183429,0.5657124003012838,-1.2589146754353107,0.06683670351678023,3,4,低
87.95,11.44,37.64,5,1,1,1729,-2.076657250786038,-1.3356337677899357,-1.0630566485074437,-1.4953690809683364,0,1,紧急
15.44,19.88,85.48,6,2,2,12525,1.768966225567433,0.6832990566276647,0.16857101756222714,0.8795514705467185,1,2,高
9.18,18.78,91.18,5,1,2,3365,1.6537967183200957,0.7650452655246814,-1.189746034074381,0.4236618437715802,1,2,高
55.87,16.49,47.59,7,3,1,32515,-0.053468172402348316,-0.6614441280332202,2.28112933482789,0.5062230026275232,1,2,高
74.78,14.43,48.51,3,2,1,13140,-1.0218748818964447,-1.1929362675838138,0.40857817001668467,-0.6111284087833457,0,1,紧急
23.84,20.27,68.64,6,1,2,3733,1.657929708448191,0.02256997704196881,-1.1712205173197798,0.18118984336234178,3,4,低
61.1,15.17,67.84,1,1,2,347,-0.5047700244803629,-0.7183047998423596,-1.3416754078933661,-0.8506496323492686,0,1,紧急
100.0,13.27,48.63,5,1,1,1691,-1.9252481864939375,-0.9044334955425012,-1.0649696094766687,-1.299976377227063,0,1,紧急
82.62,14.73,69.65,6,1,1,1899,-1.141159362757589,0.06219802753968595,-1.054498665224068,-0.7077226374577065,0,1,紧急
91.82,14.08,58.5,5,1,1,2117,-1.526172577681078,-0.5171772000846143,-1.0435243101900924,-1.0285147662560101,0,1,紧急
53.56,12.93,58.12,5,1,1,771,-0.8672598871021157,-0.532086763638211,-1.1112834013631718,-0.8343295503077257,0,1,紧急
35.3,17.36,72.35,5,2,2,5788,0.6647287283339448,0.02623715575041416,-0.17057682585013298,0.1763274741249796,3,4,低
24.82,19.05,67.94,7,3,2,36802,1.3355132771331757,0.13700223595543196,2.287894147403474,1.2438882152825976,2,3,中
77.07,14.25,43.08,8,1,1,1862,-1.1221618698048232,-0.6964998615913427,-1.0563612851151558,-0.9573360678685503,0,1,紧急
100.0,16.92,52.35,3,3,1,40536,-1.0326864132081242,-1.0422712043053652,2.684915122568804,0.1812232373387821,3,4,低
0.0,17.73,69.77,11,1,2,3437,1.6226047874476701,0.776392532801789,-1.1861214764484809,0.4181879596805557,1,2,高
19.7,18.86,81.91,5,2,2,16012,1.4148606088571591,0.40133038620405137,0.3441103570277014,0.7231327920288843,1,2,高
94.36,13.49,37.5,2,2,1,14133,-1.7328629687845973,-1.7668184981094206,0.45856686060722546,-1.0268226436575996,0,1,紧急
67.33,16.05,43.66,6,1,1,2249,-0.4426615963478386,-0.957537648139188,-1.0368792878759419,-0.810520691482849,0,1,紧急
43.8,14.36,36.89,8,2,1,13052,-0.27774703516473226,-0.9393688047407165,0.4041481551405844,-0.27720541090196177,3,4,低
50.25,14.4,56.34,3,2,1,10844,-0.4264559584901131,-0.8857207869926023,0.2929950546129769,-0.34550291313287296,3,4,低
15.88,18.92,87.49,13,1,1,1988,1.5233985025874548,1.7554435115359897,-1.0500183092698303,0.7589755672555047,1,2,高
27.55,18.21,73.41,13,2,1,17787,1.0630198078847481,1.203004946181679,0.6425131601216626,0.9724673283102839,1,2,高
33.23,12.94,54.97,6,2,1,12112,-0.36526253043603546,-0.5137819539518828,0.3568275416913312,-0.17884492466100776,3,4,低
72.05,12.67,57.24,8,2,1,13073,-1.3851788401940759,-0.14092244075206412,0.4052053177814719,-0.3801790577949761,3,4,低
70.81,14.46,50.45,4,3,1,37293,-0.9169872885578004,-0.9749217776664171,2.5216590061688806,0.18931784800847462,3,4,低
85.21,12.88,53.99,4,2,1,7836,-1.6571955766729274,-0.8360274224565974,0.14156909157536685,-0.7918684814793078,0,1,紧急
61.03,14.62,59.7,7,2,1,6957,-0.6375455830598081,-0.18629987899623843,0.09731928389250138,-0.24505757682410165,3,4,低
69.93,14.26,53.95,2,1,1,2426,-0.9442712835200145,-1.121391339012942,-1.027968917045604,-1.031294418983214,0,1,紧急
24.31,18.42,62.15,5,1,2,2146,1.193986470515286,-0.3739669185829643,-1.2511118083239978,-0.13432572028616552,3,4,低
27.21,21.75,73.79,12,1,2,2857,1.9370369931198952,1.0760172653283455,-1.2153193017682329,0.6151319475352499,1,2,高
49.7,13.22,50.42,2,3,2,17878,-0.7014954884419166,-1.2598933372871408,1.33523958472936,-0.2226353638129735,3,4,低
51.68,19.13,68.7,11,1,2,5514,0.6950680980697869,0.7344103406903466,-1.0815630571568864,0.12664533758139612,3,4,低
82.75,12.49,58.7,9,1,1,870,-1.692117680938428,0.0582589162555264,-1.1062996346275589,-0.911124682487846,0,1,紧急
72.21,12.25,43.2,1,1,2,1992,-1.4918161238471421,-1.685072289212404,-1.2588643343571733,-1.4806004155404926,0,1,紧急
69.96,11.62,35.43,5,1,1,903,-1.5905873747058654,-1.4223446505621677,-1.1046383790490215,-1.3748560860533472,0,1,紧急
49.27,15.48,59.0,5,3,1,26332,-0.13827477327373144,-0.4975593533035665,1.9698704487037064,0.430988759396986,1,2,高
36.55,19.18,62.93,5,2,2,26454,1.0790717295133359,-0.34336307760452944,0.8697718949395113,0.5317391526089993,1,2,高
59.34,11.02,40.26,2,3,1,18933,-1.4763535349039134,-1.6585279838780358,1.5973968115643191,-0.5313352936854505,3,4,低
82.01,13.65,50.83,3,1,1,1312,-1.3902708159871455,-1.1019094585197513,-1.0840488780907824,-1.19294850354164,0,1,紧急
86.06,12.12,40.42,7,3,1,20608,-1.8639303902040214,-0.9427640508734482,1.6817181174446372,-0.39301613432745963,3,4,低
32.28,17.69,89.6,7,1,2,1636,0.8196340127543532,0.9868473585104299,-1.2767857581741244,0.18955594789970953,3,4,低
92.63,12.49,42.74,2,1,1,1817,-1.9348906067433527,-1.5612234638440377,-1.0586266336313432,-1.5222226404050092,0,1,紧急
77.57,13.02,53.09,6,2,1,7230,-1.4352290397696756,-0.587545057848623,0.1110623982240398,-0.6436356847722714,0,1,紧急
62.09,19.55,72.64,16,2,2,11291,0.5419776665651558,1.5984851953596564,0.10645012714054801,0.7550195290472999,1,2,高
99.5,16.31,55.11,2,1,1,1483,-1.169568191968176,-1.0758779344809108,-1.0754405537292695,-1.1072137375341942,0,1,紧急
69.45,12.63,39.59,1,2,2,7773,-1.331072727025472,-1.8267131429715702,-0.07064978574718879,-1.085250901212274,0,1,紧急
46.49,13.89,57.39,8,1,1,2388,-0.45877875338462154,-0.13503708671774978,-1.0298818780148289,-0.5367816501162676,3,4,低
87.36,14.34,47.96,1,1,2,1462,-1.3530010080955042,-1.4983103878568271,-1.28554510577005,-1.3798289044856822,0,1,紧急
47.12,18.38,71.68,5,3,2,51497,0.6237140366491584,-5.075893618963792e-05,3.0276562906340856,1.2007938478855524,2,3,中
46.42,18.76,72.4,15,3,1,25602,0.7338387869973325,1.4471713844978231,1.933121461663329,1.3665978548147057,2,3,中
89.11,12.75,53.65,2,2,2,31537,-1.784816866131122,-1.133162047081571,1.125655595112441,-0.6125788258445688,0,1,紧急
7.97,18.34,74.07,6,1,2,4447,1.5759325423450905,0.2356197930841495,-1.1352769875296025,0.23712251185115812,1,2,高
14.34,19.08,82.92,7,2,2,12039,1.6003656221914608,0.7247529255156293,0.1441052535874005,0.828847144104365,1,2,高
73.6,13.93,44.1,6,3,1,24832,-1.1151484709539043,-0.9402739429718656,1.8943588314974513,-0.07097642479121857,3,4,低
53.51,21.2,81.17,7,1,2,4287,1.1562936153627306,0.6560904617819614,-1.1433315600316032,0.23502627080428334,1,2,高
95.51,12.37,57.44,1,2,2,2412,-2.0350029198282913,-1.1263560128881578,-0.34052830564234426,-1.1743738280991538,0,1,紧急
70.74,12.05,44.73,2,1,1,2096,-1.5046025453048104,-1.483144433655467,-1.04458147283098,-1.346769428811828,0,1,紧急
19.51,19.58,69.59,8,2,2,15224,1.5955962989046237,0.34363837473982084,0.3044415874553487,0.7514509089786977,1,2,高
89.53,9.63,18.13,3,1,1,411,-2.5580940857489494,-2.3849166380002886,-1.129406189492673,-2.0320507044212013,0,1,紧急
43.02,19.7,98.07,4,2,2,7442,1.0472493496421968,0.8934819497605914,-0.08731268261070237,0.6240358920793351,1,2,高
59.16,14.8,63.36,4,3,1,25131,-0.5475789017139865,-0.46838897377975863,1.909410813860565,0.2834913327996256,1,2,高
85.03,15.67,52.49,3,3,1,30435,-0.9705130408947698,-1.0367782072066718,2.1764198923018827,0.03748146657409124,3,4,低
26.78,18.26,69.51,25,1,2,4517,1.094167243522759,2.7527526741726698,-1.1317531120599773,0.9237042063898917,1,2,高
81.56,12.72,47.1,3,1,1,2618,-1.6066331937539022,-1.248258595506369,-1.0183034300432032,-1.2933820149546404,0,1,紧急
47.62,19.67,85.08,6,2,2,20057,0.9268812964597174,0.6676047792028261,0.5477400180939024,0.7154756214796973,1,2,高
60.6,11.9,52.07,3,1,1,574,-1.2921214791144582,-1.0532571985027521,-1.1212005937562601,-1.155757780892648,0,1,紧急
12.03,18.66,77.65,12,3,1,31268,1.5544215699896258,1.2274670424780358,2.218354010390423,1.6617351298853182,2,3,中
92.17,14.21,49.18,7,2,1,-1096,-1.502982961772573,-0.5990593752694878,-0.308077418348813,-0.8075018030567843,0,1,紧急
81.04,14.42,48.23,1,3,2,26494,-1.1781419687168477,-1.4877167505950615,1.768978313962089,-0.3174666227371935,3,4,低
75.62,13.89,26.88,4,3,1,26968,-1.1745657299734336,-1.899707074925019,2.0018873743991588,-0.37869179882242454,3,4,低
23.64,18.8,64.39,4,1,2,180,1.303374056108991,-0.4279762094107997,-1.3500823679423293,-0.14815551313080422,3,4,低
94.87,14.81,49.08,1,2,2,5310,-1.422605306394869,-1.4543664110672798,-0.19463986119985957,-1.031262805026422,0,1,紧急
76.0,15.82,62.4,3,1,1,443,-0.7119458289798178,-0.647952484006301,-1.1277952749922728,-0.8265532754496749,0,1,紧急
14.06,17.56,99.0,5,1,2,3660,1.235548868924188,1.0718683891802712,-1.1748954160238176,0.391277016217857,1,2,高
83.98,14.67,65.96,6,2,1,11589,-1.1892497466214755,-0.08258168170444857,0.33049915782541694,-0.31916929800787064,3,4,低
86.57,18.02,49.09,2,3,2,20699,-0.433691105444697,-1.3120768097247284,1.477251766155257,-0.10372677374900374,3,4,低
91.88,13.82,49.4,6,3,1,17122,-1.5912266499446204,-0.7323247670927572,1.5062291190573007,-0.2880088283815621,3,4,低
22.96,17.98,74.87,5,2,2,23320,1.1195623967277997,0.12511110352689633,0.7120029560565759,0.6513842399687569,1,2,高
87.17,13.59,42.05,7,2,1,7213,-1.5317354020836957,-0.878809870367232,0.11020659989570225,-0.774384197746817,0,1,紧急
72.2,12.59,53.96,2,2,2,8799,-1.408427661737066,-1.1209989820773212,-0.018999839578110335,-0.8567796567429583,0,1,紧急
96.56,15.16,58.09,4,1,1,1088,-1.378544138983337,-0.675161078852004,-1.0953252795935833,-1.049051834222517,0,1,紧急
58.39,20.32,88.87,5,2,2,11409,0.8211885064920776,0.6744108133962395,0.11239037436077341,0.5397221950222083,1,2,高
9.41,20.11,90.96,12,2,2,5705,1.9733799598061932,1.7496941237895323,-0.17475513533554574,1.1947891556685117,2,3,中
50.92,19.06,66.07,5,2,2,12788,0.6966253154670025,-0.22016299981954843,0.18181072111239052,0.21947428241310207,1,2,高
69.0,14.71,43.14,7,3,1,23920,-0.811377313671599,-0.8360429643845473,1.8484477682360483,0.0511418497731726,3,4,低
29.2,19.39,80.28,8,3,2,45874,1.3110299635060438,0.7630679389186265,2.744588408266904,1.5959239739540374,2,3,中
100.0,14.44,57.29,4,1,1,793,-1.6391393440982114,-0.7065496337016809,-1.110175897644147,-1.1520370681361234,0,1,紧急
74.09,15.43,43.24,8,1,1,1821,-0.7603826204105723,-0.6902221506214072,-1.0584252693187932,-0.8343444087425365,0,1,紧急
79.42,13.99,48.05,1,1,2,1113,-1.2434861849927872,-1.4947791754362385,-1.3031141420400387,-1.347596429319007,0,1,紧急
99.22,14.16,44.99,0,1,2,2016,-1.688443552679301,-1.7567376421431826,-1.2576561484818731,-1.5703931266699054,0,1,紧急
24.32,18.63,90.14,5,1,2,2863,1.2450936180784133,0.7242401442201013,-1.2150172552994079,0.26433240764140187,1,2,高
74.1,12.12,26.41,5,2,1,5284,-1.5700473747559542,-1.7762506064922734,0.013098660168458266,-1.1211386521565232,0,1,紧急
57.19,16.04,56.28,7,3,1,20795,-0.19594528405885228,-0.32048595097860666,1.6911318990563504,0.37995851977942074,1,2,高
45.83,21.2,93.48,5,1,2,1661,1.3450077925066397,0.8552873607175019,-1.275527231220687,0.32220375211243035,1,2,高
15.95,18.87,73.91,23,1,2,1521,1.5094515778870399,2.641595237032031,-1.2825749821599373,0.9764399390127294,1,2,高
58.14,19.08,76.98,5,1,2,4347,0.5241050806676039,0.20789841694291875,-1.1403110953433528,-0.12726061883741388,3,4,低
17.15,19.7,81.12,21,3,1,41749,1.6829310895787764,2.640690098800882,2.7459788503495957,2.3533638821502088,2,3,中
70.83,16.74,58.59,7,3,1,50220,-0.35993329526397994,-0.2298514988501649,3.172418123252387,0.8403392093877988,1,2,高
57.06,19.22,103.09,18,2,2,14085,0.5848782579271001,3.0770065531393387,0.2471030994567324,1.3131708113198575,2,3,中
21.67,18.88,86.55,5,1,2,1855,1.3713442060897298,0.5833840043321766,-1.2657610620620112,0.2427241034251772,1,2,高
72.36,12.62,41.51,5,3,1,16472,-1.4050230829302377,-1.1837916337046246,1.4735074182679235,-0.3881283222514192,3,4,低
75.7,14.04,61.26,6,1,1,140,-1.1398508818320514,-0.2669894414462994,-1.1430486216679365,-0.8470824476946126,0,1,紧急
77.99,13.52,51.07,2,1,1,4304,-1.3232806102656836,-1.2343901364717784,-0.9334283723033726,-1.165722121311334,0,1,紧急
81.39,11.53,45.31,4,2,1,12510,-1.893455518650303,-1.1765932425755903,0.37686329079005754,-0.9088530308623057,0,1,紧急
35.57,20.95,95.82,5,1,2,989,1.535983770501556,0.9470988836528059,-1.309356435729089,0.4061990056615214,1,2,高
44.47,20.01,77.52,5,1,2,2624,1.0874263362041527,0.22908569146645022,-1.2270487729742712,0.0407438825446107,3,4,低
30.67,16.72,85.34,6,2,2,11120,0.6219938399417166,0.6778060595289712,0.09784180277903494,0.46917445898904897,1,2,高
36.43,19.47,88.71,8,2,2,11635,1.1529362554498082,1.0938248356470948,0.12376745801984916,0.7960906617373976,1,2,高
92.59,13.94,44.31,6,1,1,6452,-1.5793283858110678,-0.9320344473238255,-0.8252957364640154,-1.1145727540083006,0,1,紧急
22.65,17.92,76.92,8,1,2,5962,1.1125075175293209,0.6312360085499841,-1.059010254151285,0.23955491767153347,1,2,高
0.0,18.12,77.14,14,1,2,2287,1.717974401579579,1.4912513275752273,-1.2440137163066098,0.6719072233727819,1,2,高
100.0,15.64,64.62,6,2,1,997,-1.3456943775384917,-0.1351575110776567,-0.2027135418070186,-0.5640036583185395,3,4,低
1.87,19.2,83.16,8,1,2,2018,1.9361249351214629,0.8760667363774626,-1.2575554663255981,0.5336917750203443,1,2,高
71.93,13.34,62.5,5,3,1,17685,-1.2183900748470258,-0.36023442583623067,1.534571146048715,-0.02821033485075275,3,4,低
49.29,16.87,68.31,18,1,1,5720,0.20114086982163143,1.7123891310496415,-0.8621454056606678,0.3617267085827451,1,2,高
95.37,14.43,49.76,6,2,1,5197,-1.5278156250465869,-0.7181999174104027,0.008718986370495486,-0.7522308636898088,0,1,紧急
100.0,16.07,36.73,5,3,1,31527,-1.240543264521259,-1.3713382489314432,2.2313923496280363,-0.14786495989804072,3,4,低
49.14,20.02,83.63,9,2,2,18172,0.9751197308132363,1.036404756758578,0.45284708580470856,0.8247578700656915,1,2,高
30.34,18.77,79.38,9,1,2,2918,1.131404470113723,0.8696530591196702,-1.2122484960018451,0.27598815177721886,1,2,高
90.1,14.2,53.18,0,2,2,26174,-1.4545639684355849,-1.4353973118696168,0.8556763930610105,-0.6917437414853274,0,1,紧急
100.0,15.81,56.46,4,3,1,18621,-1.304123007275865,-0.7391152593582205,1.5816903951854182,-0.16912471555353192,3,4,低
29.04,20.13,66.89,6,1,2,3265,1.4959192382417017,-0.046092486691699075,-1.1947801418881314,0.09592995964666379,3,4,低
48.35,21.28,71.12,5,3,2,5560,1.302648950901943,-0.022022747330963488,0.7151381842315937,0.6643990061977438,1,2,高
48.13,20.0,83.75,5,1,2,1644,0.995046861437677,0.47352406235830813,-1.2763830295490244,0.07583415988637665,3,4,低
89.29,16.36,62.14,2,3,1,36325,-0.9064595802574436,-0.8000510087393763,2.4729288425317772,0.23576443255155355,1,2,高
76.93,11.37,35.98,1,3,2,21425,-1.8229896873606313,-1.9683539967307369,1.5137993888830845,-0.7794623194057785,0,1,紧急
59.5,16.6,60.99,9,3,1,42175,-0.11576598575838254,0.1481086545127261,2.767424149636172,0.9170085274984822,1,2,高
48.42,19.1,73.64,14,1,2,1682,0.7678372105580266,1.3539264001078914,-1.2744700685797992,0.29647398491010013,1,2,高
49.59,14.72,49.19,6,3,1,30929,-0.3319863428092165,-0.7405642627407975,2.2012883849018094,0.3598711046744501,1,2,高
32.18,18.11,88.86,7,1,2,4854,0.9247969668984825,0.9578129452744791,-1.1147881687276386,0.2681540554002352,1,2,高
13.52,18.94,83.0,15,1,1,2832,1.5862795460482972,1.8630697362560398,-1.0075304393217774,0.8302416739549694,1,2,高
84.24,14.05,49.24,2,3,2,26836,-1.3472517405493896,-1.3061914556904142,1.7861949626851152,-0.3075455983582259,3,4,低
86.09,14.06,42.93,1,3,2,15153,-1.3902648590202764,-1.69566592647417,1.1980601468046634,-0.6456535151525837,0,1,紧急
57.38,18.17,77.76,20,1,1,2794,0.32025082147301676,2.3669609240253093,-1.0094434002910027,0.5738578992387755,1,2,高
53.13,19.44,93.15,17,1,1,1379,0.7352450846317423,2.545106514725175,-1.0806760258555699,0.7499363275553985,1,2,高
28.36,20.48,97.26,17,3,1,38456,1.5982164212562373,2.7063652152653894,2.5802056800427975,2.2927337674927664,2,3,中
92.98,15.2,60.88,9,3,1,20300,-1.2807943127314516,0.14379272822089553,1.6662130653782863,0.1635832179204897,3,4,低
78.1,13.1,38.37,8,1,1,2446,-1.4286892859946358,-0.8812999782688147,-1.0269620954828538,-1.112906889765563,0,1,紧急
66.63,14.64,49.75,0,3,2,30754,-0.7702589211179128,-1.569975740787606,1.9834313068278533,-0.13789976619889588,3,4,低
80.34,13.64,51.62,5,3,1,27025,-1.351680686043069,-0.7871187717918345,2.0047568158529963,-0.06275099016777785,3,4,低
38.76,20.42,74.95,28,3,1,27859,1.3279937247125413,3.3918865803712626,2.046741275019674,2.2580408407502612,2,3,中
34.12,17.87,84.59,18,1,1,2649,0.8184379861309162,2.3511462222405637,-1.0167428566209407,0.733530621410821,1,2,高
0.0,19.64,74.91,8,1,2,2200,2.08967135922189,0.552372264490171,-1.2483933901045725,0.4793221587723429,1,2,高
23.2,17.11,95.66,6,1,2,3073,0.900917477936256,1.082718417089801,-1.204445628890532,0.2728217356512352,1,2,高
61.3,19.52,85.79,25,1,1,1173,0.5540535476021637,3.3915097653635917,-1.0910462879518956,0.9705717888242262,1,2,高
24.3,19.37,67.7,17,3,1,17374,1.426542790626553,1.5465581135698327,1.5189150707479515,1.4971838688815526,2,3,中
45.87,19.25,73.16,5,2,2,32784,0.8671768355078049,0.058018067535711954,1.1884309195499076,0.6999825363659324,1,2,高
0.0,19.24,73.3,6,1,2,164,1.9918563703686498,0.20540830904133578,-1.3508878251925294,0.29610867191899465,1,2,高
98.24,15.08,53.27,8,2,1,9965,-1.439388363004215,-0.29668814419358497,0.2487452469301115,-0.5020502226996697,3,4,低
53.55,13.86,39.77,4,1,1,662,-0.6395943164335103,-1.3939589849096017,-1.1167705788801596,-1.0497489289018591,0,1,紧急
30.26,19.79,58.38,13,2,2,20735,1.3827984643680666,0.6132924719433773,0.5818712690711296,0.8615516366913039,1,2,高
18.67,19.12,75.53,14,2,2,22099,1.5037496748485137,1.4280818609402528,0.6505364996506843,1.1989385569999431,2,3,中
20.73,18.84,64.15,5,2,2,13518,1.384660536177749,-0.29549553145877216,0.21855970815276796,0.4373210583970861,1,2,高
100.0,15.07,51.97,0,3,2,22504,-1.4850807366543586,-1.482872501079753,1.5681174121934507,-0.4847258798276751,3,4,低
79.23,16.98,56.0,3,3,1,36995,-0.5076504332031864,-0.8990609228037151,2.506657364883905,0.34747512728644403,1,2,高
68.54,14.55,35.08,8,2,1,10138,-0.8392001163110464,-1.0103854100881104,0.2574542534478996,-0.5377804355165746,3,4,低
80.32,14.92,54.38,7,1,1,4039,-1.0381812785430562,-0.39503376874658885,-0.9467687580098111,-0.7917620120626507,0,1,紧急
11.15,20.23,73.63,6,2,2,16875,1.9599689007029986,0.21835608791682737,0.38755470746036674,0.8589161046270293,1,2,高
54.07,17.98,78.71,8,2,2,9104,0.3551225463440739,0.7014679000261355,-0.003645810746171825,0.35424633295582264,1,2,高
85.69,13.68,52.77,9,1,1,2883,-1.4733602350379424,-0.17440874656770253,-1.0049630443367648,-0.8827655825563816,0,1,紧急
93.73,13.81,57.06,7,2,1,768,-1.6391305178581694,-0.2898821100001718,-0.21424164870050685,-0.7184516925819288,0,1,紧急
22.13,17.3,97.92,7,1,2,4002,0.9736718072175847,1.3132883289470685,-1.1576787673007916,0.39019038576440457,1,2,高
17.44,18.21,76.65,5,2,2,21691,1.3114443301405974,0.19495063806742716,0.6299973397705828,0.7125149874659089,1,2,高
53.23,18.98,72.49,5,2,2,15385,0.6203006316022885,0.0317301528491076,0.31254650103548676,0.32142278108512234,1,2,高
6.83,22.37,97.86,11,1,2,1621,2.5894308157112804,1.878523164961064,-1.2775408743461871,1.084091465838807,2,3,中
13.41,17.58,84.36,6,1,2,2544,1.2564115213803322,0.6393550798381169,-1.2310760592252714,0.2343041826755628,1,2,高
86.58,12.66,41.95,7,1,1,2036,-1.7446576776629328,-0.8827334397234413,-1.04760193751923,-1.2263091138891666,0,1,紧急
83.29,16.56,64.91,5,2,1,4870,-0.7101191349371448,-0.26567640435157963,-0.0077425461804681225,-0.33055769251485684,3,4,低
100.0,12.18,49.37,4,1,1,678,-2.191794031119016,-1.017296326713481,-1.1159651216299595,-1.444219934215342,0,1,紧急
74.35,13.41,55.84,2,1,2,970,-1.2607370753248257,-1.0472358781805808,-1.3103129162137017,-1.2051011160457454,0,1,紧急
29.76,17.66,84.55,19,1,1,2833,0.874219727965705,2.49147403890501,-1.00748009824364,0.8025413298913591,1,2,高
67.91,13.79,59.15,2,2,1,9591,-1.009568135288366,-0.9173657324900433,0.22991768370668522,-0.5727263181379416,3,4,低
32.84,18.62,59.76,4,1,2,2393,1.0332934530880586,-0.609637470603304,-1.2386775620240345,-0.263575500380797,3,4,低
72.89,16.76,68.93,6,2,1,9718,-0.40566119229481373,0.033948328174976894,0.23631100063014815,-0.047502954609164774,3,4,低
25.6,21.01,61.0,12,1,1,4221,1.7956404388978724,0.5741927446691382,-0.9376066817887855,0.48962670869408925,1,2,高
62.85,18.83,69.97,14,1,2,3939,0.34723584618279096,1.2099314047349992,-1.1608502552234543,0.1438846041874161,3,4,低
76.53,14.38,51.22,6,1,1,411,-1.0771030328470892,-0.6609158048097425,-1.129406189492673,-0.9541335035267748,0,1,紧急
37.74,18.48,79.97,7,1,2,2908,0.8786546304262536,0.6090076295074461,-1.2127519067832202,0.10316558772355322,3,4,低
80.46,14.0,45.83,4,1,1,1849,-1.2665958550930267,-1.1561906819233005,-1.0570157191309433,-1.1608160261153868,0,1,紧急
88.1,13.52,66.07,6,3,1,33000,-1.5717051325215325,-0.07826575541261804,2.305544757724579,0.20040861173550673,1,2,高
46.04,18.64,71.57,6,2,2,15179,0.7138317105646268,0.13753055917890966,0.30217623893916107,0.38506674841699806,1,2,高
60.62,15.22,44.98,4,3,1,41030,-0.4807485148022133,-1.1895410214510822,2.709783615168731,0.32523807396776494,1,2,高
80.57,13.92,47.35,0,3,2,23442,-1.2888617902967257,-1.6641414053366361,1.6153373434864289,-0.46435576587162586,3,4,低
85.07,14.36,62.94,3,2,1,11926,-1.2918400157284213,-0.6267652094827693,0.34746410115775556,-0.5312628623048061,3,4,低
21.78,19.63,74.46,5,1,2,1981,1.5520443727565036,0.10902446916643657,-1.2594180862166857,0.14583928578193356,3,4,低
87.43,14.24,56.61,6,2,1,11676,-1.3791748064025737,-0.4494354165100454,0.3348788316233797,-0.5050356013380602,3,4,低
70.49,13.07,32.17,5,2,1,10088,-1.2490312841084794,-1.5502530115746005,0.2549371995410244,-0.8580294850987421,0,1,紧急
27.1,20.79,95.34,18,2,2,14092,1.7049839573051702,2.7729299280330952,0.24745548700369488,1.5872748810837132,2,3,中
58.59,15.55,44.3,2,1,1,2270,-0.3501696672792626,-1.5000157818871682,-1.0358221252350543,-0.9617026878769976,0,1,紧急
