ID,PCI,RT,AADT,AT,AR,R,IRI,NM,YSM
663259,53.56,1,771,1,58.12,12.93,0.56,0,5
347744,35.3,2,5788,2,72.35,17.36,0.78,1,5
322938,24.82,3,36802,2,67.94,19.05,0.68,1,7
978790,77.07,1,1862,1,43.08,14.25,0.75,0,8
147264,100.0,3,40536,1,52.35,16.92,0.68,0,3
107102,0.0,1,3437,2,69.77,17.73,0.92,1,11
627171,19.7,2,16012,2,81.91,18.86,0.95,1,5
540058,94.36,2,14133,1,37.5,13.49,0.41,0,2
897773,67.33,1,2249,1,43.66,16.05,0.3,0,6
423256,43.8,2,13052,1,36.89,14.36,0.71,0,8
1254,50.25,2,10844,1,56.34,14.4,0.95,0,3
332989,15.88,1,1988,1,87.49,18.92,0.94,1,13
877775,27.55,2,17787,1,73.41,18.21,0.74,1,13
304249,33.23,2,12112,1,54.97,12.94,0.95,0,6
386409,72.05,2,13073,1,57.24,12.67,0.85,0,8
394836,70.81,3,37293,1,50.45,14.46,0.82,0,4
133421,85.21,2,7836,1,53.99,12.88,0.23,0,4
213907,61.03,2,6957,1,59.7,14.62,0.89,0,7
845599,69.93,1,2426,1,53.95,14.26,1.21,0,2
144328,24.31,1,2146,2,62.15,18.42,1.07,1,5
439431,27.21,1,2857,2,73.79,21.75,1.03,1,12
573303,49.7,3,17878,2,50.42,13.22,0.89,0,2
987289,51.68,1,5514,2,68.7,19.13,1.03,1,11
369511,82.75,1,870,1,58.7,12.49,1.13,0,9
744783,72.21,1,1992,2,43.2,12.25,0.46,0,1
497983,69.96,1,903,1,35.43,11.62,1.0,0,5
346425,49.27,3,26332,1,59.0,15.48,0.55,0,5
665995,36.55,2,26454,2,62.93,19.18,0.82,1,5
417090,59.34,3,18933,1,40.26,11.02,0.67,0,2
450143,82.01,1,1312,1,50.83,13.65,0.46,0,3
87426,86.06,3,20608,1,40.42,12.12,0.66,0,7
794650,32.28,1,1636,2,89.6,17.69,1.35,1,7
668085,92.63,1,1817,1,42.74,12.49,0.85,0,2
384275,77.57,2,7230,1,53.09,13.02,1.08,0,6
150527,62.09,2,11291,2,72.64,19.55,1.18,1,16
564962,99.5,1,1483,1,55.11,16.31,0.74,0,2
421759,69.45,2,7773,2,39.59,12.63,0.61,0,1
585291,46.49,1,2388,1,57.39,13.89,0.71,0,8
860703,87.36,1,1462,2,47.96,14.34,0.55,0,1
717975,47.12,3,51497,2,71.68,18.38,0.95,1,5
10721,46.42,3,25602,1,72.4,18.76,1.17,1,15
193242,89.11,2,31537,2,53.65,12.75,0.86,0,2
684462,7.97,1,4447,2,74.07,18.34,1.02,1,6
906926,14.34,2,12039,2,82.92,19.08,0.69,1,7
428394,73.6,3,24832,1,44.1,13.93,1.02,0,6
594162,53.51,1,4287,2,81.17,21.2,1.07,1,7
726700,95.51,2,2412,2,57.44,12.37,0.42,0,1
647800,70.74,1,2096,1,44.73,12.05,0.88,0,2
858848,19.51,2,15224,2,69.59,19.58,1.36,1,8
381346,89.53,1,411,1,18.13,9.63,0.32,0,3
572058,43.02,2,7442,2,98.07,19.7,0.97,1,4
32622,59.16,3,25131,1,63.36,14.8,0.84,0,4
852739,85.03,3,30435,1,52.49,15.67,0.88,0,3
612757,26.78,1,4517,2,69.51,18.26,0.74,1,25
924042,81.56,1,2618,1,47.1,12.72,0.59,0,3
622955,47.62,2,20057,2,85.08,19.67,1.08,1,6
522873,60.6,1,574,1,52.07,11.9,0.49,0,3
589715,12.03,3,31268,1,77.65,18.66,0.8,1,12
430753,92.17,2,-1096,1,49.18,14.21,0.65,0,7
753165,81.04,3,26494,2,48.23,14.42,0.82,0,1
929015,75.62,3,26968,1,26.88,13.89,0.81,0,4
442326,23.64,1,180,2,64.39,18.8,1.11,1,4
788593,94.87,2,5310,2,49.08,14.81,0.55,0,1
334749,76.0,1,443,1,62.4,15.82,0.58,0,3
756198,14.06,1,3660,2,99.0,17.56,0.7,1,5
923875,83.98,2,11589,1,65.96,14.67,0.52,0,6
469796,86.57,3,20699,2,49.09,18.02,0.51,0,2
271579,91.88,3,17122,1,49.4,13.82,0.7,0,6
817107,22.96,2,23320,2,74.87,17.98,1.01,1,5
121174,87.17,2,7213,1,42.05,13.59,0.51,0,7
731756,72.2,2,8799,2,53.96,12.59,0.76,0,2
730463,96.56,1,1088,1,58.09,15.16,0.33,0,4
276577,58.39,2,11409,2,88.87,20.32,0.86,1,5
373897,9.41,2,5705,2,90.96,20.11,0.57,1,12
30447,50.92,2,12788,2,66.07,19.06,0.71,1,5
390022,69.0,3,23920,1,43.14,14.71,0.36,0,7
767981,29.2,3,45874,2,80.28,19.39,1.18,1,8
33333,100.0,1,793,1,57.29,14.44,0.96,0,4
718336,74.09,1,1821,1,43.24,15.43,1.01,0,8
562374,79.42,1,1113,2,48.05,13.99,0.74,0,1
264505,99.22,1,2016,2,44.99,14.16,0.59,0,0
313026,24.32,1,2863,2,90.14,18.63,0.87,1,5
579884,74.1,2,5284,1,26.41,12.12,0.56,0,5
145631,57.19,3,20795,1,56.28,16.04,1.2,0,7
852433,45.83,1,1661,2,93.48,21.2,1.44,1,5
1013237,15.95,1,1521,2,73.91,18.87,1.12,1,23
485010,58.14,1,4347,2,76.98,19.08,0.66,1,5
196114,17.15,3,41749,1,81.12,19.7,1.13,1,21
827241,70.83,3,50220,1,58.59,16.74,0.84,0,7
304812,57.06,2,14085,2,103.09,19.22,0.57,1,18
931631,21.67,1,1855,2,86.55,18.88,1.27,1,5
596707,72.36,3,16472,1,41.51,12.62,0.55,0,5
747342,75.7,1,140,1,61.26,14.04,0.94,0,6
282988,77.99,1,4304,1,51.07,13.52,0.75,0,2
538646,81.39,2,12510,1,45.31,11.53,0.24,0,4
933108,35.57,1,989,2,95.82,20.95,0.72,1,5
450139,44.47,1,2624,2,77.52,20.01,0.84,1,5
264279,30.67,2,11120,2,85.34,16.72,1.04,1,6
164166,36.43,2,11635,2,88.71,19.47,1.07,1,8
794550,92.59,1,6452,1,44.31,13.94,0.7,0,6
763066,22.65,1,5962,2,76.92,17.92,0.9,1,8
916891,0.0,1,2287,2,77.14,18.12,1.32,1,14
599196,100.0,2,997,1,64.62,15.64,0.98,0,6
780221,1.87,1,2018,2,83.16,19.2,1.06,1,8
204980,71.93,3,17685,1,62.5,13.34,0.65,0,5
867307,49.29,1,5720,1,68.31,16.87,1.07,1,18
845682,95.37,2,5197,1,49.76,14.43,0.36,0,6
525700,100.0,3,31527,1,36.73,16.07,0.86,0,5
686971,49.14,2,18172,2,83.63,20.02,0.85,1,9
137345,30.34,1,2918,2,79.38,18.77,1.09,1,9
540664,90.1,2,26174,2,53.18,14.2,0.7,0,0
42778,100.0,3,18621,1,56.46,15.81,1.07,0,4
783454,29.04,1,3265,2,66.89,20.13,1.04,1,6
752377,48.35,3,5560,2,71.12,21.28,0.85,1,5
629401,48.13,1,1644,2,83.75,20.0,0.77,1,5
578613,89.29,3,36325,1,62.14,16.36,0.61,0,2
855250,76.93,3,21425,2,35.98,11.37,1.12,0,1
331137,59.5,3,42175,1,60.99,16.6,1.14,0,9
928201,48.42,1,1682,2,73.64,19.1,0.63,1,14
179638,49.59,3,30929,1,49.19,14.72,1.0,0,6
1044875,32.18,1,4854,2,88.86,18.11,1.09,1,7
488203,13.52,1,2832,1,83.0,18.94,1.16,1,15
389314,84.24,3,26836,2,49.24,14.05,0.63,0,2
731211,86.09,3,15153,2,42.93,14.06,0.58,0,1
758114,57.38,1,2794,1,77.76,18.17,0.71,1,20
455827,53.13,1,1379,1,93.15,19.44,0.72,1,17
584889,28.36,3,38456,1,97.26,20.48,0.77,1,17
793411,92.98,3,20300,1,60.88,15.2,0.69,0,9
55108,78.1,1,2446,1,38.37,13.1,0.68,0,8
340036,66.63,3,30754,2,49.75,14.64,0.89,0,0
480673,80.34,3,27025,1,51.62,13.64,0.8,0,5
631487,38.76,3,27859,1,74.95,20.42,0.73,1,28
192179,34.12,1,2649,1,84.59,17.87,0.93,1,18
373603,0.0,1,2200,2,74.91,19.64,0.99,1,8
452412,23.2,1,3073,2,95.66,17.11,0.62,1,6
844106,61.3,1,1173,1,85.79,19.52,1.43,1,25
897538,24.3,3,17374,1,67.7,19.37,0.77,1,17
647804,45.87,2,32784,2,73.16,19.25,1.25,1,5
366617,0.0,1,164,2,73.3,19.24,0.84,1,6
585517,98.24,2,9965,1,53.27,15.08,0.92,0,8
632517,53.55,1,662,1,39.77,13.86,0.71,0,4
742798,30.26,2,20735,2,58.38,19.79,1.15,1,13
384901,18.67,2,22099,2,75.53,19.12,0.82,1,14
665111,20.73,2,13518,2,64.15,18.84,0.75,1,5
460539,100.0,3,22504,2,51.97,15.07,0.91,0,0
558546,79.23,3,36995,1,56.0,16.98,0.54,0,3
853536,68.54,2,10138,1,35.08,14.55,0.17,0,8
7564,80.32,1,4039,1,54.38,14.92,0.74,0,7
151315,11.15,2,16875,2,73.63,20.23,0.8,1,6
271411,54.07,2,9104,2,78.71,17.98,1.2,1,8
1043122,85.69,1,2883,1,52.77,13.68,0.78,0,9
412146,93.73,2,768,1,57.06,13.81,0.45,0,7
111450,22.13,1,4002,2,97.92,17.3,1.12,1,7
930121,17.44,2,21691,2,76.65,18.21,0.94,1,5
35773,53.23,2,15385,2,72.49,18.98,0.66,1,5
886591,6.83,1,1621,2,97.86,22.37,1.09,1,11
568463,13.41,1,2544,2,84.36,17.58,0.64,1,6
139131,86.58,1,2036,1,41.95,12.66,1.08,0,7
562617,83.29,2,4870,1,64.91,16.56,0.83,0,5
384271,100.0,1,678,1,49.37,12.18,1.01,0,4
796688,74.35,1,970,2,55.84,13.41,0.74,0,2
404412,29.76,1,2833,1,84.55,17.66,0.75,1,19
455859,67.91,2,9591,1,59.15,13.79,0.78,0,2
616116,32.84,1,2393,2,59.76,18.62,0.85,1,4
110426,72.89,2,9718,1,68.93,16.76,0.48,0,6
946341,25.6,1,4221,1,61.0,21.01,0.72,1,12
768682,62.85,1,3939,2,69.97,18.83,1.17,1,14
439748,76.53,1,411,1,51.22,14.38,0.6,0,6
676378,37.74,1,2908,2,79.97,18.48,1.05,1,7
869157,80.46,1,1849,1,45.83,14.0,0.72,0,4
19430,88.1,3,33000,1,66.07,13.52,0.71,0,6
552409,46.04,2,15179,2,71.57,18.64,0.95,1,6
366384,60.62,3,41030,1,44.98,15.22,0.85,0,4
499011,80.57,3,23442,2,47.35,13.92,0.89,0,0
1039540,85.07,2,11926,1,62.94,14.36,0.92,0,3
627980,21.78,1,1981,2,74.46,19.63,0.88,1,5
941862,87.43,2,11676,1,56.61,14.24,0.36,0,6
799715,70.49,2,10088,1,32.17,13.07,0.78,0,5
96957,27.1,2,14092,2,95.34,20.79,0.82,1,18
396268,58.59,1,2270,1,44.3,15.55,0.57,0,2
28113,67.66,1,4214,1,47.91,13.63,0.77,0,2
142571,70.99,1,3334,1,55.57,14.5,0.92,0,2
469373,44.83,1,3901,2,85.29,19.36,1.03,1,6
651431,75.6,2,22501,1,67.72,17.16,0.77,0,3
104643,63.61,3,81917,1,83.87,21.26,1.22,1,15
974426,30.41,2,8273,2,68.81,20.07,0.77,1,9
73247,63.79,3,34808,1,63.54,13.71,0.9,0,6
621789,100.0,2,6222,1,45.07,15.67,0.85,0,7
895981,0.0,1,4110,2,71.3,19.02,0.97,1,7
379504,63.15,2,7467,1,55.72,13.31,0.45,0,5
969124,57.93,1,2000,1,49.34,14.45,0.47,0,4
186042,90.37,2,6046,1,48.59,13.68,0.79,0,5
29400,78.76,2,24751,1,49.04,13.34,0.49,0,6
850142,91.45,3,25148,1,40.49,13.38,0.88,0,5
857422,82.48,2,10218,1,59.52,14.44,0.63,0,7
613189,32.52,1,2752,2,70.1,19.85,0.86,1,9
309274,70.57,3,32885,1,47.34,13.76,0.74,0,7
770101,55.59,2,9318,1,83.69,18.38,1.15,1,13
866437,47.23,1,2673,2,80.23,18.32,0.78,1,7
306707,59.25,3,25368,1,44.79,14.25,0.74,0,7
603795,82.84,1,1553,2,55.1,13.94,0.44,0,1
162257,81.7,1,2177,1,54.15,16.14,1.04,0,3
395369,34.24,2,24665,2,73.61,17.54,1.07,1,5
323526,74.68,3,26448,1,45.58,13.89,0.72,0,4
840891,85.0,2,20984,1,64.47,15.66,0.86,0,3
238345,100.0,2,8972,1,49.94,14.02,0.33,0,4
64248,49.66,3,59222,1,57.97,19.5,1.11,1,16
149705,59.44,3,27513,1,70.71,13.3,0.91,0,7
577634,18.15,1,2524,2,72.21,18.61,0.81,1,6
217925,78.91,2,853,1,37.21,15.02,0.6,0,4
695818,69.01,1,2054,1,58.51,14.67,0.82,0,3
895711,12.33,1,3665,2,70.39,19.36,0.69,1,12
922232,26.01,2,20006,1,79.21,19.01,0.91,1,18
914603,26.14,3,36939,2,82.41,20.74,1.08,1,6
696205,9.03,1,2413,2,75.09,19.98,1.04,1,5
253009,19.18,3,71632,1,81.85,19.88,1.03,1,18
497642,74.04,2,8614,2,45.49,13.14,0.69,0,2
493034,55.32,2,6410,2,37.53,14.43,0.96,0,1
351538,81.55,1,2553,1,55.02,13.68,0.81,0,9
500071,31.29,3,24106,2,76.05,20.46,0.86,1,7
816304,31.46,1,2972,2,102.51,19.14,0.59,1,17
939280,55.97,3,20440,1,54.96,14.82,0.87,0,5
409176,64.27,3,10130,1,37.85,14.94,0.63,0,8
446189,76.34,2,5367,1,41.38,15.3,0.72,0,4
798934,93.33,3,26604,1,48.59,15.72,0.41,0,4
50685,84.38,2,19872,2,66.96,14.47,1.08,0,1
283444,84.17,3,22373,2,39.87,14.58,0.98,0,2
381610,45.42,1,1943,1,51.39,12.07,0.64,0,4
227097,84.56,2,17999,1,33.54,14.07,0.84,0,4
669360,16.13,1,2431,2,72.22,19.25,0.75,1,5
875655,92.91,1,1474,1,46.39,12.29,0.52,0,9
1390,68.19,1,4137,1,55.76,11.83,0.82,0,3
491079,28.43,2,12049,2,84.61,18.33,1.15,1,5
8814,49.9,1,2483,1,47.08,11.94,0.39,0,3
368845,58.9,2,6903,1,48.61,16.66,0.81,0,6
352899,100.0,1,2169,1,51.32,12.05,0.53,0,5
1039083,100.0,2,9126,1,72.34,13.76,0.48,0,7
144368,95.77,1,6048,1,35.22,12.94,1.0,0,6
617510,71.99,1,4287,1,57.38,14.53,0.74,0,6
442559,65.32,3,43325,2,43.74,13.92,0.84,0,2
544670,31.52,2,5271,2,67.27,19.13,0.84,1,5
293266,61.09,1,1970,1,70.5,13.56,0.97,0,3
575876,72.97,3,30461,1,54.17,15.39,0.78,0,5
303626,100.0,1,1266,1,54.27,12.65,0.5,0,4
839236,29.16,1,939,2,69.65,20.7,0.54,1,5
690343,7.12,3,19250,2,74.33,18.64,0.57,1,6
42843,27.72,2,4079,2,78.67,20.04,1.0,1,5
463818,26.88,3,37139,1,66.97,18.54,1.09,1,14
1030842,45.59,3,42782,2,70.81,19.7,0.77,1,5
308618,14.42,3,38762,2,83.06,19.64,0.7,1,14
29395,86.93,3,46085,1,47.82,15.59,1.01,0,7
391808,88.24,3,28198,1,49.76,14.77,0.69,0,2
1004677,97.35,3,25104,2,55.68,15.65,0.82,0,1
37559,53.26,1,2864,1,63.32,17.24,0.7,1,18
973851,31.73,1,3505,2,74.19,19.01,1.14,1,5
586951,82.58,1,3614,1,70.37,13.69,0.51,0,9
200979,23.04,2,14833,2,81.48,21.15,1.26,1,7
824081,33.06,1,2326,2,70.55,18.49,1.11,1,7
121931,19.51,1,2130,2,103.09,19.25,0.99,1,7
356172,32.92,3,39835,2,77.29,19.21,1.17,1,5
1036417,100.0,1,1531,2,37.43,14.6,0.9,0,1
46209,64.51,1,2743,1,71.27,17.5,0.81,1,16
8863,64.19,1,5194,2,89.53,19.28,1.26,1,11
923742,13.85,1,3235,1,73.32,19.85,0.71,1,13
265242,23.01,1,1614,2,84.51,19.51,0.88,1,8
357400,91.31,2,10346,1,66.54,15.34,0.94,0,6
680277,60.74,2,6738,1,57.62,13.8,0.56,0,4
490171,59.21,2,23792,2,89.05,19.4,1.1,1,7
634482,56.08,2,7989,1,68.68,16.67,0.87,0,6
186279,19.53,1,3289,2,87.36,19.12,0.54,1,8
1027057,100.0,1,1452,2,45.56,14.46,0.65,0,0
58764,49.64,1,5656,2,65.23,19.83,1.09,1,5
816566,76.63,3,10436,2,55.15,14.78,0.89,0,1
96576,97.51,3,25536,2,33.5,14.22,0.98,0,1
657621,0.22,2,12915,2,100.38,19.46,0.81,1,18
301915,41.39,3,31850,2,47.28,16.02,0.7,0,2
884358,79.03,1,990,2,40.62,13.17,0.65,0,1
156986,13.42,1,4074,2,85.41,20.09,0.95,1,15
816686,74.21,3,36881,1,40.88,15.46,0.69,0,2
285971,73.48,2,7130,1,40.1,13.12,0.8,0,9
734578,72.24,1,1214,1,38.19,15.38,1.22,0,5
251101,21.07,1,2648,2,72.08,18.69,0.92,1,5
533582,90.86,1,1621,1,25.96,13.93,0.78,0,3
81541,86.49,3,25420,1,55.25,13.97,1.02,0,2
1045735,62.92,1,269,2,56.91,12.56,0.51,0,1
237687,100.0,2,8928,1,40.9,13.74,0.82,0,4
516197,80.27,3,29796,1,40.07,15.61,1.0,0,5
706434,62.12,1,2012,1,40.02,12.69,0.74,0,7
715466,12.4,1,3508,2,78.77,19.24,0.99,1,10
131459,72.32,2,215,1,59.58,14.91,0.98,0,3
181230,54.52,3,46341,1,84.56,18.92,1.11,1,16
813508,50.83,1,4401,2,80.8,20.8,0.71,1,5
228651,82.61,1,952,1,35.77,10.81,0.4,0,2
487967,53.07,2,11501,1,64.96,16.41,0.31,0,5
671539,67.92,1,1086,1,46.9,14.97,0.75,0,4
494466,52.49,1,208,1,60.64,14.81,0.73,0,1
752049,15.35,1,2300,2,93.61,17.14,1.18,1,5
945610,26.87,1,617,2,83.17,19.0,1.1,1,8
629907,82.13,3,26684,2,63.12,16.49,0.78,0,1
468916,85.47,2,2687,1,49.89,12.16,0.74,0,6
631349,52.53,1,6299,2,52.55,20.48,1.01,1,7
627823,95.8,3,32781,2,62.15,14.75,0.65,0,0
731254,38.19,1,3887,2,88.71,19.66,1.42,1,10
463717,79.76,1,2153,1,34.02,12.88,0.83,0,3
867384,100.0,3,24322,1,52.9,16.97,1.03,0,6
470162,36.83,1,2403,2,104.19,19.77,1.08,1,5
189230,32.42,1,1051,2,86.56,18.1,0.74,1,5
959187,84.9,2,7194,1,54.04,12.96,0.37,0,4
859366,95.81,1,2741,1,49.34,10.55,0.7,0,7
145175,27.0,1,3538,2,94.24,19.55,1.22,1,5
288594,91.0,2,22579,1,56.32,12.79,0.82,0,4
81570,29.88,2,10809,2,79.59,19.28,1.07,1,5
184721,74.31,3,31176,1,50.79,15.87,0.9,0,3
42183,35.84,1,3332,1,90.23,19.42,0.4,1,13
593683,62.67,2,6911,1,56.06,13.62,0.56,0,4
549950,41.85,2,12368,2,71.18,19.93,1.13,1,6
935647,17.81,3,71758,2,85.42,19.59,1.26,1,15
809771,77.02,1,2047,1,41.18,11.31,0.52,0,6
816230,47.72,1,853,1,48.29,10.29,0.43,0,6
381244,93.72,2,13094,1,53.66,14.38,0.77,0,7
335923,65.68,1,953,2,72.96,19.79,1.39,1,8
99275,76.47,3,31109,1,55.14,12.62,1.04,0,6
999728,100.0,1,703,1,46.98,12.15,0.65,0,4
982171,35.78,3,61074,2,87.15,18.45,1.14,1,7
234305,50.95,1,2443,1,60.2,19.59,0.49,1,14
127399,78.54,1,1688,1,57.36,13.46,0.78,0,6
921253,66.94,2,15213,1,38.58,12.89,0.71,0,7
538148,18.93,1,1195,1,84.96,18.48,0.99,1,13
914111,0.0,2,-264,2,72.22,18.51,1.16,1,6
478779,57.03,1,762,1,41.53,12.76,0.96,0,4
170775,82.2,3,15747,1,39.35,10.67,0.84,0,5
868958,74.23,3,48771,2,43.2,13.8,0.62,0,2
28405,26.08,1,2952,2,80.81,17.59,1.08,1,4
1020201,40.5,3,30316,2,67.14,17.65,0.91,1,10
83319,54.21,1,1403,1,47.61,12.51,0.84,0,8
750130,74.63,1,2166,1,58.04,12.8,0.65,0,3
774834,26.66,1,4269,2,83.01,18.84,0.82,1,6
246937,100.0,2,9021,1,34.07,13.32,0.57,0,7
638542,30.85,1,1677,2,77.83,19.75,0.94,1,6
869338,34.21,2,13144,1,85.58,20.49,1.09,1,19
371235,49.8,3,32590,1,50.09,15.04,0.97,0,7
976216,100.0,2,7864,1,44.57,13.44,1.02,0,4
785311,69.64,2,7370,1,57.36,14.27,0.92,0,4
850722,47.06,1,2678,2,77.42,19.13,0.71,1,5
387197,100.0,3,34493,1,43.09,14.34,0.95,0,9
794441,30.69,3,44244,1,78.59,20.72,1.04,1,14
225750,70.98,2,12066,1,58.32,13.53,0.7,0,0
521204,100.0,2,11150,2,42.0,14.38,0.9,0,1
280557,100.0,1,909,1,59.93,15.41,0.49,0,5
859876,99.33,1,4176,2,54.5,17.06,0.55,0,2
58185,25.66,2,8976,2,94.37,19.31,1.06,1,4
939548,29.81,2,10941,2,77.25,18.53,0.82,1,6
575221,74.35,3,33576,2,37.7,13.82,0.46,0,1
677059,90.94,1,2728,1,55.74,15.57,0.61,0,8
772312,39.1,1,4172,2,75.51,21.29,0.76,1,6
795336,6.53,1,2307,2,84.68,20.39,0.86,1,13
519928,83.17,3,21596,1,60.52,17.15,0.58,0,7
927496,57.88,2,4773,1,58.22,14.46,0.6,0,6
806577,83.73,1,1260,1,57.63,15.74,0.52,0,4
427910,54.43,1,1841,2,70.13,20.03,0.96,1,6
653781,84.5,1,3794,1,50.56,12.94,0.69,0,5
888738,38.87,1,1381,2,67.43,21.07,0.96,1,6
444444,51.53,2,9757,1,52.98,13.31,0.72,0,7
350616,54.73,3,48125,1,86.38,19.74,0.97,1,18
728385,12.19,2,15024,1,92.7,21.31,0.99,1,16
491361,87.08,1,1304,1,65.31,12.61,0.77,0,7
427784,0.0,1,3042,2,68.74,20.14,0.8,1,5
1045631,36.62,1,1538,2,68.76,18.5,0.64,1,5
610579,0.0,1,2987,2,66.74,16.7,0.7,1,5
978259,89.78,3,36331,1,45.97,17.48,0.69,0,5
282357,100.0,3,12467,1,49.62,14.7,0.9,0,4
943735,88.46,1,2986,1,59.38,13.47,0.63,0,8
945460,41.34,2,8694,1,47.09,12.8,0.72,0,7
597788,63.13,1,1388,1,53.03,13.78,0.77,0,7
490990,30.3,2,7188,1,88.96,21.17,0.83,1,20
708180,47.53,1,-23,1,40.47,15.65,0.55,0,7
62710,40.03,2,29449,2,78.84,19.16,1.26,1,7
69983,46.51,3,35122,2,102.31,19.27,1.28,1,5
89972,46.03,1,2597,1,97.32,18.84,1.21,1,19
388798,69.05,1,493,1,60.14,13.16,0.53,0,5
783737,16.15,2,16043,2,84.46,19.73,1.05,1,7
176289,0.0,1,971,2,70.32,18.39,1.02,1,6
863047,6.45,1,2777,2,97.24,20.1,0.92,1,7
67744,31.83,2,-503,2,92.82,19.42,1.3,1,5
250590,48.09,1,1690,1,79.33,21.37,1.05,1,17
184499,91.49,1,1063,2,42.5,13.34,0.57,0,1
813908,59.78,2,11503,2,61.9,12.82,0.79,0,1
952946,57.0,1,3000,1,91.69,18.6,1.22,1,15
551083,32.01,2,6049,2,88.84,18.04,1.17,1,5
964846,83.2,2,12194,2,54.23,14.57,0.86,0,1
642954,41.75,2,16062,2,67.66,17.55,1.14,1,6
204912,66.19,2,9479,2,66.89,14.41,0.49,0,1
331875,26.06,1,4150,2,66.84,19.36,1.04,1,8
90044,21.85,1,2648,1,83.56,18.82,1.29,1,21
752060,27.8,1,3921,2,82.85,17.42,0.92,1,11
158452,86.42,2,11162,2,54.99,14.39,1.04,0,1
651106,92.36,2,5427,1,57.76,12.64,0.63,0,5
522156,21.38,1,2203,2,84.49,19.06,0.91,1,5
522689,78.47,2,10793,1,49.43,13.19,0.65,0,4
137859,79.18,2,8217,1,49.55,14.09,0.65,0,7
168591,83.73,1,1575,1,47.26,13.02,0.58,0,2
825545,36.35,1,2937,2,94.25,17.07,1.1,1,5
742882,27.38,1,2226,2,82.22,19.09,1.0,1,8
805349,50.18,1,1789,2,79.75,19.41,0.89,1,6
354502,94.18,1,2083,1,38.65,12.37,0.71,0,4
906286,47.81,2,11795,2,70.35,16.43,0.88,1,7
389227,73.14,2,10670,1,45.6,13.5,1.11,0,6
473846,51.25,3,32920,2,95.02,20.02,1.32,1,14
121408,67.6,3,72119,1,50.03,15.66,0.74,0,6
789542,70.98,1,4794,1,46.78,12.65,0.6,0,4
29469,85.87,3,43911,1,51.72,14.18,0.99,0,4
156783,85.87,3,33545,1,35.62,14.69,0.44,0,5
653304,24.09,1,2830,2,79.54,20.68,0.9,1,9
699137,48.08,1,3046,1,92.79,18.72,1.0,1,17
237652,46.72,2,8709,1,53.25,14.62,0.7,0,3
132904,38.05,3,41344,1,69.74,21.68,0.46,1,18
193634,26.54,2,21448,2,90.82,19.04,1.05,1,4
12911,47.71,3,32658,2,79.47,20.34,0.9,1,5
127393,2.99,1,2146,2,68.89,19.48,1.28,1,7
22148,46.2,1,2946,2,86.04,17.65,1.01,1,5
764222,79.45,2,5739,1,41.1,15.08,0.75,0,8
643665,69.89,1,1786,1,52.38,13.68,0.71,0,3
19997,58.6,1,3038,1,48.25,11.54,0.58,0,5
1002582,74.13,1,2644,1,48.39,13.88,0.82,0,5
84030,24.48,1,3883,2,72.73,18.74,0.88,1,6
768433,25.22,2,16167,1,77.55,18.21,1.16,1,16
534588,47.44,1,1239,2,87.39,20.76,1.12,1,5
482507,43.91,3,35926,2,84.12,19.02,0.85,1,5
780659,25.56,2,16541,2,72.47,21.76,0.69,1,7
332444,44.75,2,19591,2,88.22,18.79,0.96,1,5
504328,13.25,1,2510,2,74.08,20.42,0.85,1,5
933041,34.69,1,3603,2,80.89,19.31,0.95,1,17
