Segment ID,PCI,Road Type,AADT,Asphalt Type,Last Maintenance,Average Rainfall,Rutting,IRI,Needs Maintenance
SID 347744,35.3,Secondary,5788,Asphalt,2020,72.35,17.36,0.78,1
SID 322938,24.82,Primary,36802,Asphalt,2018,67.94,19.05,0.68,1
SID 978790,77.07,Tertiary,1862,Concrete,2017,43.08,14.25,0.75,0
SID 147264,100.0,Primary,40536,Concrete,2022,52.35,16.92,0.68,0
SID 107102,0.0,Tertiary,3437,Asphalt,2014,69.77,17.73,0.92,1
SID 627171,19.7,Secondary,16012,Asphalt,2020,81.91,18.86,0.95,1
SID 540058,94.36,Secondary,14133,Concrete,2023,37.5,13.49,0.41,0
SID 897773,67.33,Tertiary,2249,Concrete,2019,43.66,16.05,0.3,0
SID 423256,43.8,Secondary,13052,Concrete,2017,36.89,14.36,0.71,0
SID 1254,50.25,Secondary,10844,Concrete,2022,56.34,14.4,0.95,0
SID 332989,15.88,Tertiary,1988,Concrete,2012,87.49,18.92,0.94,1
SID 877775,27.55,Secondary,17787,Concrete,2012,73.41,18.21,0.74,1
SID 304249,33.23,Secondary,12112,Concrete,2019,54.97,12.94,0.95,0
SID 386409,72.05,Secondary,13073,Concrete,2017,57.24,12.67,0.85,0
SID 394836,70.81,Primary,37293,Concrete,2021,50.45,14.46,0.82,0
SID 133421,85.21,Secondary,7836,Concrete,2021,53.99,12.88,0.23,0
SID 213907,61.03,Secondary,6957,Concrete,2018,59.7,14.62,0.89,0
SID 845599,69.93,Tertiary,2426,Concrete,2023,53.95,14.26,1.21,0
SID 144328,24.31,Tertiary,2146,Asphalt,2020,62.15,18.42,1.07,1
SID 439431,27.21,Tertiary,2857,Asphalt,2013,73.79,21.75,1.03,1
SID 573303,49.7,Primary,17878,Asphalt,2023,50.42,13.22,0.89,0
SID 987289,51.68,Tertiary,5514,Asphalt,2014,68.7,19.13,1.03,1
SID 369511,82.75,Tertiary,870,Concrete,2016,58.7,12.49,1.13,0
SID 744783,72.21,Tertiary,1992,Asphalt,2024,43.2,12.25,0.46,0
SID 497983,69.96,Tertiary,903,Concrete,2020,35.43,11.62,1.0,0
SID 346425,49.27,Primary,26332,Concrete,2020,59.0,15.48,0.55,0
SID 665995,36.55,Secondary,26454,Asphalt,2020,62.93,19.18,0.82,1
SID 417090,59.34,Primary,18933,Concrete,2023,40.26,11.02,0.67,0
SID 450143,82.01,Tertiary,1312,Concrete,2022,50.83,13.65,0.46,0
SID 87426,86.06,Primary,20608,Concrete,2018,40.42,12.12,0.66,0
SID 794650,32.28,Tertiary,1636,Asphalt,2018,89.6,17.69,1.35,1
SID 668085,92.63,Tertiary,1817,Concrete,2023,42.74,12.49,0.85,0
SID 384275,77.57,Secondary,7230,Concrete,2019,53.09,13.02,1.08,0
SID 150527,62.09,Secondary,11291,Asphalt,2009,72.64,19.55,1.18,1
SID 564962,99.5,Tertiary,1483,Concrete,2023,55.11,16.31,0.74,0
SID 421759,69.45,Secondary,7773,Asphalt,2024,39.59,12.63,0.61,0
SID 585291,46.49,Tertiary,2388,Concrete,2017,57.39,13.89,0.71,0
SID 860703,87.36,Tertiary,1462,Asphalt,2024,47.96,14.34,0.55,0
SID 717975,47.12,Primary,51497,Asphalt,2020,71.68,18.38,0.95,1
SID 10721,46.42,Primary,25602,Concrete,2010,72.4,18.76,1.17,1
SID 193242,89.11,Secondary,31537,Asphalt,2023,53.65,12.75,0.86,0
SID 684462,7.97,Tertiary,4447,Asphalt,2019,74.07,18.34,1.02,1
SID 906926,14.34,Secondary,12039,Asphalt,2018,82.92,19.08,0.69,1
SID 428394,73.6,Primary,24832,Concrete,2019,44.1,13.93,1.02,0
SID 594162,53.51,Tertiary,4287,Asphalt,2018,81.17,21.2,1.07,1
SID 726700,95.51,Secondary,2412,Asphalt,2024,57.44,12.37,0.42,0
SID 647800,70.74,Tertiary,2096,Concrete,2023,44.73,12.05,0.88,0
SID 858848,19.51,Secondary,15224,Asphalt,2017,69.59,19.58,1.36,1
SID 381346,89.53,Tertiary,411,Concrete,2022,18.13,9.63,0.32,0
SID 572058,43.02,Secondary,7442,Asphalt,2021,98.07,19.7,0.97,1
SID 32622,59.16,Primary,25131,Concrete,2021,63.36,14.8,0.84,0
SID 852739,85.03,Primary,30435,Concrete,2022,52.49,15.67,0.88,0
SID 612757,26.78,Tertiary,4517,Asphalt,2000,69.51,18.26,0.74,1
SID 924042,81.56,Tertiary,2618,Concrete,2022,47.1,12.72,0.59,0
SID 622955,47.62,Secondary,20057,Asphalt,2019,85.08,19.67,1.08,1
SID 522873,60.6,Tertiary,574,Concrete,2022,52.07,11.9,0.49,0
SID 589715,12.03,Primary,31268,Concrete,2013,77.65,18.66,0.8,1
SID 430753,92.17,Secondary,-1096,Concrete,2018,49.18,14.21,0.65,0
SID 753165,81.04,Primary,26494,Asphalt,2024,48.23,14.42,0.82,0
SID 929015,75.62,Primary,26968,Concrete,2021,26.88,13.89,0.81,0
SID 442326,23.64,Tertiary,180,Asphalt,2021,64.39,18.8,1.11,1
SID 788593,94.87,Secondary,5310,Asphalt,2024,49.08,14.81,0.55,0
SID 334749,76.0,Tertiary,443,Concrete,2022,62.4,15.82,0.58,0
SID 756198,14.06,Tertiary,3660,Asphalt,2020,99.0,17.56,0.7,1
SID 923875,83.98,Secondary,11589,Concrete,2019,65.96,14.67,0.52,0
SID 469796,86.57,Primary,20699,Asphalt,2023,49.09,18.02,0.51,0
SID 271579,91.88,Primary,17122,Concrete,2019,49.4,13.82,0.7,0
SID 817107,22.96,Secondary,23320,Asphalt,2020,74.87,17.98,1.01,1
SID 121174,87.17,Secondary,7213,Concrete,2018,42.05,13.59,0.51,0
SID 731756,72.2,Secondary,8799,Asphalt,2023,53.96,12.59,0.76,0
SID 730463,96.56,Tertiary,1088,Concrete,2021,58.09,15.16,0.33,0
SID 276577,58.39,Secondary,11409,Asphalt,2020,88.87,20.32,0.86,1
SID 373897,9.41,Secondary,5705,Asphalt,2013,90.96,20.11,0.57,1
SID 30447,50.92,Secondary,12788,Asphalt,2020,66.07,19.06,0.71,1
SID 390022,69.0,Primary,23920,Concrete,2018,43.14,14.71,0.36,0
SID 767981,29.2,Primary,45874,Asphalt,2017,80.28,19.39,1.18,1
SID 33333,100.0,Tertiary,793,Concrete,2021,57.29,14.44,0.96,0
SID 718336,74.09,Tertiary,1821,Concrete,2017,43.24,15.43,1.01,0
SID 562374,79.42,Tertiary,1113,Asphalt,2024,48.05,13.99,0.74,0
SID 264505,99.22,Tertiary,2016,Asphalt,2025,44.99,14.16,0.59,0
SID 313026,24.32,Tertiary,2863,Asphalt,2020,90.14,18.63,0.87,1
SID 579884,74.1,Secondary,5284,Concrete,2020,26.41,12.12,0.56,0
SID 145631,57.19,Primary,20795,Concrete,2018,56.28,16.04,1.2,0
SID 852433,45.83,Tertiary,1661,Asphalt,2020,93.48,21.2,1.44,1
SID 1013237,15.95,Tertiary,1521,Asphalt,2002,73.91,18.87,1.12,1
SID 485010,58.14,Tertiary,4347,Asphalt,2020,76.98,19.08,0.66,1
SID 196114,17.15,Primary,41749,Concrete,2004,81.12,19.7,1.13,1
SID 827241,70.83,Primary,50220,Concrete,2018,58.59,16.74,0.84,0
SID 304812,57.06,Secondary,14085,Asphalt,2007,103.09,19.22,0.57,1
SID 931631,21.67,Tertiary,1855,Asphalt,2020,86.55,18.88,1.27,1
SID 596707,72.36,Primary,16472,Concrete,2020,41.51,12.62,0.55,0
SID 747342,75.7,Tertiary,140,Concrete,2019,61.26,14.04,0.94,0
SID 282988,77.99,Tertiary,4304,Concrete,2023,51.07,13.52,0.75,0
SID 538646,81.39,Secondary,12510,Concrete,2021,45.31,11.53,0.24,0
SID 933108,35.57,Tertiary,989,Asphalt,2020,95.82,20.95,0.72,1
SID 450139,44.47,Tertiary,2624,Asphalt,2020,77.52,20.01,0.84,1
SID 264279,30.67,Secondary,11120,Asphalt,2019,85.34,16.72,1.04,1
SID 164166,36.43,Secondary,11635,Asphalt,2017,88.71,19.47,1.07,1
SID 794550,92.59,Tertiary,6452,Concrete,2019,44.31,13.94,0.7,0
SID 763066,22.65,Tertiary,5962,Asphalt,2017,76.92,17.92,0.9,1
SID 916891,0.0,Tertiary,2287,Asphalt,2011,77.14,18.12,1.32,1
SID 599196,100.0,Secondary,997,Concrete,2019,64.62,15.64,0.98,0
SID 780221,1.87,Tertiary,2018,Asphalt,2017,83.16,19.2,1.06,1
SID 204980,71.93,Primary,17685,Concrete,2020,62.5,13.34,0.65,0
SID 867307,49.29,Tertiary,5720,Concrete,2007,68.31,16.87,1.07,1
SID 845682,95.37,Secondary,5197,Concrete,2019,49.76,14.43,0.36,0
SID 525700,100.0,Primary,31527,Concrete,2020,36.73,16.07,0.86,0
SID 686971,49.14,Secondary,18172,Asphalt,2016,83.63,20.02,0.85,1
SID 137345,30.34,Tertiary,2918,Asphalt,2016,79.38,18.77,1.09,1
SID 540664,90.1,Secondary,26174,Asphalt,2025,53.18,14.2,0.7,0
SID 42778,100.0,Primary,18621,Concrete,2021,56.46,15.81,1.07,0
SID 783454,29.04,Tertiary,3265,Asphalt,2019,66.89,20.13,1.04,1
SID 752377,48.35,Primary,5560,Asphalt,2020,71.12,21.28,0.85,1
SID 629401,48.13,Tertiary,1644,Asphalt,2020,83.75,20.0,0.77,1
SID 578613,89.29,Primary,36325,Concrete,2023,62.14,16.36,0.61,0
SID 855250,76.93,Primary,21425,Asphalt,2024,35.98,11.37,1.12,0
SID 331137,59.5,Primary,42175,Concrete,2016,60.99,16.6,1.14,0
SID 928201,48.42,Tertiary,1682,Asphalt,2011,73.64,19.1,0.63,1
SID 179638,49.59,Primary,30929,Concrete,2019,49.19,14.72,1.0,0
SID 1044875,32.18,Tertiary,4854,Asphalt,2018,88.86,18.11,1.09,1
SID 488203,13.52,Tertiary,2832,Concrete,2010,83.0,18.94,1.16,1
SID 389314,84.24,Primary,26836,Asphalt,2023,49.24,14.05,0.63,0
SID 731211,86.09,Primary,15153,Asphalt,2024,42.93,14.06,0.58,0
SID 758114,57.38,Tertiary,2794,Concrete,2005,77.76,18.17,0.71,1
SID 455827,53.13,Tertiary,1379,Concrete,2008,93.15,19.44,0.72,1
SID 584889,28.36,Primary,38456,Concrete,2008,97.26,20.48,0.77,1
SID 793411,92.98,Primary,20300,Concrete,2016,60.88,15.2,0.69,0
SID 55108,78.1,Tertiary,2446,Concrete,2017,38.37,13.1,0.68,0
SID 340036,66.63,Primary,30754,Asphalt,2025,49.75,14.64,0.89,0
SID 480673,80.34,Primary,27025,Concrete,2020,51.62,13.64,0.8,0
SID 631487,38.76,Primary,27859,Concrete,1997,74.95,20.42,0.73,1
SID 192179,34.12,Tertiary,2649,Concrete,2007,84.59,17.87,0.93,1
SID 373603,0.0,Tertiary,2200,Asphalt,2017,74.91,19.64,0.99,1
SID 452412,23.2,Tertiary,3073,Asphalt,2019,95.66,17.11,0.62,1
SID 844106,61.3,Tertiary,1173,Concrete,2000,85.79,19.52,1.43,1
SID 897538,24.3,Primary,17374,Concrete,2008,67.7,19.37,0.77,1
SID 647804,45.87,Secondary,32784,Asphalt,2020,73.16,19.25,1.25,1
SID 366617,0.0,Tertiary,164,Asphalt,2019,73.3,19.24,0.84,1
SID 585517,98.24,Secondary,9965,Concrete,2017,53.27,15.08,0.92,0
SID 632517,53.55,Tertiary,662,Concrete,2021,39.77,13.86,0.71,0
SID 742798,30.26,Secondary,20735,Asphalt,2012,58.38,19.79,1.15,1
SID 384901,18.67,Secondary,22099,Asphalt,2011,75.53,19.12,0.82,1
SID 665111,20.73,Secondary,13518,Asphalt,2020,64.15,18.84,0.75,1
SID 460539,100.0,Primary,22504,Asphalt,2025,51.97,15.07,0.91,0
SID 558546,79.23,Primary,36995,Concrete,2022,56.0,16.98,0.54,0
SID 853536,68.54,Secondary,10138,Concrete,2017,35.08,14.55,0.17,0
SID 7564,80.32,Tertiary,4039,Concrete,2018,54.38,14.92,0.74,0
SID 151315,11.15,Secondary,16875,Asphalt,2019,73.63,20.23,0.8,1
SID 271411,54.07,Secondary,9104,Asphalt,2017,78.71,17.98,1.2,1
SID 1043122,85.69,Tertiary,2883,Concrete,2016,52.77,13.68,0.78,0
SID 412146,93.73,Secondary,768,Concrete,2018,57.06,13.81,0.45,0
SID 111450,22.13,Tertiary,4002,Asphalt,2018,97.92,17.3,1.12,1
SID 930121,17.44,Secondary,21691,Asphalt,2020,76.65,18.21,0.94,1
SID 35773,53.23,Secondary,15385,Asphalt,2020,72.49,18.98,0.66,1
SID 886591,6.83,Tertiary,1621,Asphalt,2014,97.86,22.37,1.09,1
SID 568463,13.41,Tertiary,2544,Asphalt,2019,84.36,17.58,0.64,1
SID 139131,86.58,Tertiary,2036,Concrete,2018,41.95,12.66,1.08,0
SID 562617,83.29,Secondary,4870,Concrete,2020,64.91,16.56,0.83,0
SID 384271,100.0,Tertiary,678,Concrete,2021,49.37,12.18,1.01,0
SID 796688,74.35,Tertiary,970,Asphalt,2023,55.84,13.41,0.74,0
SID 404412,29.76,Tertiary,2833,Concrete,2006,84.55,17.66,0.75,1
SID 455859,67.91,Secondary,9591,Concrete,2023,59.15,13.79,0.78,0
SID 616116,32.84,Tertiary,2393,Asphalt,2021,59.76,18.62,0.85,1
SID 110426,72.89,Secondary,9718,Concrete,2019,68.93,16.76,0.48,0
SID 946341,25.6,Tertiary,4221,Concrete,2013,61.0,21.01,0.72,1
SID 768682,62.85,Tertiary,3939,Asphalt,2011,69.97,18.83,1.17,1
SID 439748,76.53,Tertiary,411,Concrete,2019,51.22,14.38,0.6,0
SID 676378,37.74,Tertiary,2908,Asphalt,2018,79.97,18.48,1.05,1
SID 869157,80.46,Tertiary,1849,Concrete,2021,45.83,14.0,0.72,0
SID 19430,88.1,Primary,33000,Concrete,2019,66.07,13.52,0.71,0
SID 552409,46.04,Secondary,15179,Asphalt,2019,71.57,18.64,0.95,1
SID 366384,60.62,Primary,41030,Concrete,2021,44.98,15.22,0.85,0
SID 499011,80.57,Primary,23442,Asphalt,2025,47.35,13.92,0.89,0
SID 1039540,85.07,Secondary,11926,Concrete,2022,62.94,14.36,0.92,0
SID 627980,21.78,Tertiary,1981,Asphalt,2020,74.46,19.63,0.88,1
SID 941862,87.43,Secondary,11676,Concrete,2019,56.61,14.24,0.36,0
SID 799715,70.49,Secondary,10088,Concrete,2020,32.17,13.07,0.78,0
SID 96957,27.1,Secondary,14092,Asphalt,2007,95.34,20.79,0.82,1
SID 396268,58.59,Tertiary,2270,Concrete,2023,44.3,15.55,0.57,0
SID 28113,67.66,Tertiary,4214,Concrete,2023,47.91,13.63,0.77,0
SID 142571,70.99,Tertiary,3334,Concrete,2023,55.57,14.5,0.92,0
SID 469373,44.83,Tertiary,3901,Asphalt,2019,85.29,19.36,1.03,1
SID 651431,75.6,Secondary,22501,Concrete,2022,67.72,17.16,0.77,0
SID 104643,63.61,Primary,81917,Concrete,2010,83.87,21.26,1.22,1
SID 974426,30.41,Secondary,8273,Asphalt,2016,68.81,20.07,0.77,1
SID 73247,63.79,Primary,34808,Concrete,2019,63.54,13.71,0.9,0
SID 621789,100.0,Secondary,6222,Concrete,2018,45.07,15.67,0.85,0
SID 895981,0.0,Tertiary,4110,Asphalt,2018,71.3,19.02,0.97,1
SID 379504,63.15,Secondary,7467,Concrete,2020,55.72,13.31,0.45,0
SID 969124,57.93,Tertiary,2000,Concrete,2021,49.34,14.45,0.47,0
SID 186042,90.37,Secondary,6046,Concrete,2020,48.59,13.68,0.79,0
SID 29400,78.76,Secondary,24751,Concrete,2019,49.04,13.34,0.49,0
SID 850142,91.45,Primary,25148,Concrete,2020,40.49,13.38,0.88,0
SID 857422,82.48,Secondary,10218,Concrete,2018,59.52,14.44,0.63,0
SID 613189,32.52,Tertiary,2752,Asphalt,2016,70.1,19.85,0.86,1
SID 309274,70.57,Primary,32885,Concrete,2018,47.34,13.76,0.74,0
SID 770101,55.59,Secondary,9318,Concrete,2012,83.69,18.38,1.15,1
SID 866437,47.23,Tertiary,2673,Asphalt,2018,80.23,18.32,0.78,1
SID 306707,59.25,Primary,25368,Concrete,2018,44.79,14.25,0.74,0
SID 603795,82.84,Tertiary,1553,Asphalt,2024,55.1,13.94,0.44,0
SID 162257,81.7,Tertiary,2177,Concrete,2022,54.15,16.14,1.04,0
SID 395369,34.24,Secondary,24665,Asphalt,2020,73.61,17.54,1.07,1
SID 323526,74.68,Primary,26448,Concrete,2021,45.58,13.89,0.72,0
SID 840891,85.0,Secondary,20984,Concrete,2022,64.47,15.66,0.86,0
SID 238345,100.0,Secondary,8972,Concrete,2021,49.94,14.02,0.33,0
SID 64248,49.66,Primary,59222,Concrete,2009,57.97,19.5,1.11,1
SID 149705,59.44,Primary,27513,Concrete,2018,70.71,13.3,0.91,0
SID 577634,18.15,Tertiary,2524,Asphalt,2019,72.21,18.61,0.81,1
SID 217925,78.91,Secondary,853,Concrete,2021,37.21,15.02,0.6,0
SID 695818,69.01,Tertiary,2054,Concrete,2022,58.51,14.67,0.82,0
SID 895711,12.33,Tertiary,3665,Asphalt,2013,70.39,19.36,0.69,1
SID 922232,26.01,Secondary,20006,Concrete,2007,79.21,19.01,0.91,1
SID 914603,26.14,Primary,36939,Asphalt,2019,82.41,20.74,1.08,1
SID 696205,9.03,Tertiary,2413,Asphalt,2020,75.09,19.98,1.04,1
SID 253009,19.18,Primary,71632,Concrete,2007,81.85,19.88,1.03,1
SID 497642,74.04,Secondary,8614,Asphalt,2023,45.49,13.14,0.69,0
SID 493034,55.32,Secondary,6410,Asphalt,2024,37.53,14.43,0.96,0
SID 351538,81.55,Tertiary,2553,Concrete,2016,55.02,13.68,0.81,0
SID 500071,31.29,Primary,24106,Asphalt,2018,76.05,20.46,0.86,1
SID 816304,31.46,Tertiary,2972,Asphalt,2008,102.51,19.14,0.59,1
SID 939280,55.97,Primary,20440,Concrete,2020,54.96,14.82,0.87,0
SID 409176,64.27,Primary,10130,Concrete,2017,37.85,14.94,0.63,0
SID 446189,76.34,Secondary,5367,Concrete,2021,41.38,15.3,0.72,0
SID 798934,93.33,Primary,26604,Concrete,2021,48.59,15.72,0.41,0
SID 50685,84.38,Secondary,19872,Asphalt,2024,66.96,14.47,1.08,0
SID 283444,84.17,Primary,22373,Asphalt,2023,39.87,14.58,0.98,0
SID 381610,45.42,Tertiary,1943,Concrete,2021,51.39,12.07,0.64,0
SID 227097,84.56,Secondary,17999,Concrete,2021,33.54,14.07,0.84,0
SID 669360,16.13,Tertiary,2431,Asphalt,2020,72.22,19.25,0.75,1
SID 875655,92.91,Tertiary,1474,Concrete,2016,46.39,12.29,0.52,0
SID 1390,68.19,Tertiary,4137,Concrete,2022,55.76,11.83,0.82,0
SID 491079,28.43,Secondary,12049,Asphalt,2020,84.61,18.33,1.15,1
SID 8814,49.9,Tertiary,2483,Concrete,2022,47.08,11.94,0.39,0
SID 368845,58.9,Secondary,6903,Concrete,2019,48.61,16.66,0.81,0
SID 352899,100.0,Tertiary,2169,Concrete,2020,51.32,12.05,0.53,0
SID 1039083,100.0,Secondary,9126,Concrete,2018,72.34,13.76,0.48,0
SID 144368,95.77,Tertiary,6048,Concrete,2019,35.22,12.94,1.0,0
SID 617510,71.99,Tertiary,4287,Concrete,2019,57.38,14.53,0.74,0
SID 442559,65.32,Primary,43325,Asphalt,2023,43.74,13.92,0.84,0
SID 544670,31.52,Secondary,5271,Asphalt,2020,67.27,19.13,0.84,1
SID 293266,61.09,Tertiary,1970,Concrete,2022,70.5,13.56,0.97,0
SID 575876,72.97,Primary,30461,Concrete,2020,54.17,15.39,0.78,0
SID 303626,100.0,Tertiary,1266,Concrete,2021,54.27,12.65,0.5,0
SID 839236,29.16,Tertiary,939,Asphalt,2020,69.65,20.7,0.54,1
SID 690343,7.12,Primary,19250,Asphalt,2019,74.33,18.64,0.57,1
SID 42843,27.72,Secondary,4079,Asphalt,2020,78.67,20.04,1.0,1
SID 463818,26.88,Primary,37139,Concrete,2011,66.97,18.54,1.09,1
SID 1030842,45.59,Primary,42782,Asphalt,2020,70.81,19.7,0.77,1
SID 308618,14.42,Primary,38762,Asphalt,2011,83.06,19.64,0.7,1
SID 29395,86.93,Primary,46085,Concrete,2018,47.82,15.59,1.01,0
SID 391808,88.24,Primary,28198,Concrete,2023,49.76,14.77,0.69,0
SID 1004677,97.35,Primary,25104,Asphalt,2024,55.68,15.65,0.82,0
SID 37559,53.26,Tertiary,2864,Concrete,2007,63.32,17.24,0.7,1
SID 973851,31.73,Tertiary,3505,Asphalt,2020,74.19,19.01,1.14,1
SID 586951,82.58,Tertiary,3614,Concrete,2016,70.37,13.69,0.51,0
SID 200979,23.04,Secondary,14833,Asphalt,2018,81.48,21.15,1.26,1
SID 824081,33.06,Tertiary,2326,Asphalt,2018,70.55,18.49,1.11,1
SID 121931,19.51,Tertiary,2130,Asphalt,2018,103.09,19.25,0.99,1
SID 356172,32.92,Primary,39835,Asphalt,2020,77.29,19.21,1.17,1
SID 1036417,100.0,Tertiary,1531,Asphalt,2024,37.43,14.6,0.9,0
SID 46209,64.51,Tertiary,2743,Concrete,2009,71.27,17.5,0.81,1
SID 8863,64.19,Tertiary,5194,Asphalt,2014,89.53,19.28,1.26,1
SID 923742,13.85,Tertiary,3235,Concrete,2012,73.32,19.85,0.71,1
SID 265242,23.01,Tertiary,1614,Asphalt,2017,84.51,19.51,0.88,1
SID 357400,91.31,Secondary,10346,Concrete,2019,66.54,15.34,0.94,0
SID 680277,60.74,Secondary,6738,Concrete,2021,57.62,13.8,0.56,0
SID 490171,59.21,Secondary,23792,Asphalt,2018,89.05,19.4,1.1,1
SID 634482,56.08,Secondary,7989,Concrete,2019,68.68,16.67,0.87,0
SID 186279,19.53,Tertiary,3289,Asphalt,2017,87.36,19.12,0.54,1
SID 1027057,100.0,Tertiary,1452,Asphalt,2025,45.56,14.46,0.65,0
SID 58764,49.64,Tertiary,5656,Asphalt,2020,65.23,19.83,1.09,1
SID 816566,76.63,Primary,10436,Asphalt,2024,55.15,14.78,0.89,0
SID 96576,97.51,Primary,25536,Asphalt,2024,33.5,14.22,0.98,0
SID 657621,0.22,Secondary,12915,Asphalt,2007,100.38,19.46,0.81,1
SID 301915,41.39,Primary,31850,Asphalt,2023,47.28,16.02,0.7,0
SID 884358,79.03,Tertiary,990,Asphalt,2024,40.62,13.17,0.65,0
SID 156986,13.42,Tertiary,4074,Asphalt,2010,85.41,20.09,0.95,1
SID 816686,74.21,Primary,36881,Concrete,2023,40.88,15.46,0.69,0
SID 285971,73.48,Secondary,7130,Concrete,2016,40.1,13.12,0.8,0
SID 734578,72.24,Tertiary,1214,Concrete,2020,38.19,15.38,1.22,0
SID 251101,21.07,Tertiary,2648,Asphalt,2020,72.08,18.69,0.92,1
SID 533582,90.86,Tertiary,1621,Concrete,2022,25.96,13.93,0.78,0
SID 81541,86.49,Primary,25420,Concrete,2023,55.25,13.97,1.02,0
SID 1045735,62.92,Tertiary,269,Asphalt,2024,56.91,12.56,0.51,0
SID 237687,100.0,Secondary,8928,Concrete,2021,40.9,13.74,0.82,0
SID 516197,80.27,Primary,29796,Concrete,2020,40.07,15.61,1.0,0
SID 706434,62.12,Tertiary,2012,Concrete,2018,40.02,12.69,0.74,0
SID 715466,12.4,Tertiary,3508,Asphalt,2015,78.77,19.24,0.99,1
SID 131459,72.32,Secondary,215,Concrete,2022,59.58,14.91,0.98,0
SID 181230,54.52,Primary,46341,Concrete,2009,84.56,18.92,1.11,1
SID 813508,50.83,Tertiary,4401,Asphalt,2020,80.8,20.8,0.71,1
SID 228651,82.61,Tertiary,952,Concrete,2023,35.77,10.81,0.4,0
SID 487967,53.07,Secondary,11501,Concrete,2020,64.96,16.41,0.31,0
SID 671539,67.92,Tertiary,1086,Concrete,2021,46.9,14.97,0.75,0
SID 494466,52.49,Tertiary,208,Concrete,2024,60.64,14.81,0.73,0
SID 752049,15.35,Tertiary,2300,Asphalt,2020,93.61,17.14,1.18,1
SID 945610,26.87,Tertiary,617,Asphalt,2017,83.17,19.0,1.1,1
SID 629907,82.13,Primary,26684,Asphalt,2024,63.12,16.49,0.78,0
SID 468916,85.47,Secondary,2687,Concrete,2019,49.89,12.16,0.74,0
SID 631349,52.53,Tertiary,6299,Asphalt,2018,52.55,20.48,1.01,1
SID 627823,95.8,Primary,32781,Asphalt,2025,62.15,14.75,0.65,0
SID 731254,38.19,Tertiary,3887,Asphalt,2015,88.71,19.66,1.42,1
SID 463717,79.76,Tertiary,2153,Concrete,2022,34.02,12.88,0.83,0
SID 867384,100.0,Primary,24322,Concrete,2019,52.9,16.97,1.03,0
SID 470162,36.83,Tertiary,2403,Asphalt,2020,104.19,19.77,1.08,1
SID 189230,32.42,Tertiary,1051,Asphalt,2020,86.56,18.1,0.74,1
SID 959187,84.9,Secondary,7194,Concrete,2021,54.04,12.96,0.37,0
