ID,NM,y_hat_prob,y_hat_i
897538,1,1.0,1
647804,1,1.0,1
366617,1,1.0,1
585517,0,0.0001,0
632517,0,0.0001,0
742798,1,1.0,1
384901,1,1.0,1
665111,1,1.0,1
460539,0,0.0001,0
558546,0,0.0001,0
853536,0,0.0001,0
7564,0,0.0001,0
151315,1,1.0,1
271411,1,1.0,1
1043122,0,0.0001,0
412146,0,0.0001,0
111450,1,1.0,1
930121,1,1.0,1
35773,1,1.0,1
886591,1,1.0,1
568463,1,1.0,1
139131,0,0.0001,0
562617,0,0.0001,0
384271,0,0.0001,0
796688,0,0.0001,0
404412,1,1.0,1
455859,0,0.0001,0
616116,1,1.0,1
110426,0,0.0001,0
946341,1,1.0,1
768682,1,1.0,1
439748,0,0.0001,0
676378,1,1.0,1
869157,0,0.0001,0
19430,0,0.0001,0
552409,1,1.0,1
366384,0,0.0001,0
499011,0,0.0001,0
1039540,0,0.0001,0
627980,1,1.0,1
941862,0,0.0001,0
799715,0,0.0001,0
96957,1,1.0,1
396268,0,0.0001,0
28113,0,0.0001,0
142571,0,0.0001,0
469373,1,1.0,1
651431,0,0.0001,0
104643,1,1.0,1
974426,1,1.0,1
73247,0,0.0001,0
621789,0,0.0001,0
895981,1,1.0,1
379504,0,0.0001,0
969124,0,0.0001,0
186042,0,0.0001,0
29400,0,0.0001,0
850142,0,0.0001,0
857422,0,0.0001,0
613189,1,1.0,1
309274,0,0.0001,0
770101,1,1.0,1
866437,1,1.0,1
306707,0,0.0001,0
603795,0,0.0001,0
162257,0,0.0001,0
395369,1,1.0,1
323526,0,0.0001,0
840891,0,0.0001,0
238345,0,0.0001,0
64248,1,1.0,1
149705,0,0.0001,0
577634,1,1.0,1
217925,0,0.0001,0
695818,0,0.0001,0
895711,1,1.0,1
922232,1,1.0,1
914603,1,1.0,1
696205,1,1.0,1
253009,1,1.0,1
497642,0,0.0001,0
493034,0,0.0001,0
351538,0,0.0001,0
500071,1,1.0,1
816304,1,1.0,1
939280,0,0.0001,0
409176,0,0.0001,0
446189,0,0.0001,0
798934,0,0.0001,0
50685,0,0.0001,0
283444,0,0.0001,0
381610,0,0.0001,0
227097,0,0.0001,0
669360,1,1.0,1
875655,0,0.0001,0
1390,0,0.0001,0
491079,1,1.0,1
8814,0,0.0001,0
368845,0,0.0001,0
352899,0,0.0001,0
1039083,0,0.0001,0
144368,0,0.0001,0
617510,0,0.0001,0
442559,0,0.0001,0
544670,1,1.0,1
293266,0,0.0001,0
575876,0,0.0001,0
303626,0,0.0001,0
839236,1,1.0,1
690343,1,1.0,1
42843,1,1.0,1
463818,1,1.0,1
1030842,1,1.0,1
308618,1,1.0,1
29395,0,0.0001,0
391808,0,0.0001,0
1004677,0,0.0001,0
37559,1,1.0,1
973851,1,1.0,1
586951,0,0.0001,0
200979,1,1.0,1
824081,1,1.0,1
121931,1,1.0,1
356172,1,1.0,1
1036417,0,0.0001,0
46209,1,1.0,1
8863,1,1.0,1
923742,1,1.0,1
265242,1,1.0,1
357400,0,0.0001,0
680277,0,0.0001,0
490171,1,1.0,1
634482,0,0.0001,0
186279,1,1.0,1
1027057,0,0.0001,0
58764,1,1.0,1
816566,0,0.0001,0
96576,0,0.0001,0
657621,1,1.0,1
301915,0,0.0001,0
884358,0,0.0001,0
156986,1,1.0,1
816686,0,0.0001,0
285971,0,0.0001,0
734578,0,0.0001,0
251101,1,1.0,1
533582,0,0.0001,0
81541,0,0.0001,0
1045735,0,0.0001,0
237687,0,0.0001,0
516197,0,0.0001,0
706434,0,0.0001,0
715466,1,1.0,1
131459,0,0.0001,0
181230,1,1.0,1
813508,1,1.0,1
228651,0,0.0001,0
487967,0,0.0001,0
671539,0,0.0001,0
494466,0,0.0001,0
752049,1,1.0,1
945610,1,1.0,1
629907,0,0.0001,0
468916,0,0.0001,0
631349,1,1.0,1
627823,0,0.0001,0
731254,1,1.0,1
463717,0,0.0001,0
867384,0,0.0001,0
470162,1,1.0,1
189230,1,1.0,1
959187,0,0.0001,0
859366,0,0.0001,0
145175,1,1.0,1
288594,0,0.0001,0
81570,1,1.0,1
184721,0,0.0001,0
42183,1,1.0,1
593683,0,0.0001,0
549950,1,1.0,1
935647,1,1.0,1
809771,0,0.0001,0
816230,0,0.0001,0
381244,0,0.0001,0
335923,1,1.0,1
99275,0,0.0001,0
999728,0,0.0001,0
982171,1,1.0,1
234305,1,1.0,1
127399,0,0.0001,0
921253,0,0.0001,0
538148,1,1.0,1
914111,1,1.0,1
478779,0,0.0001,0
170775,0,0.0001,0
868958,0,0.0001,0
28405,1,1.0,1
1020201,1,1.0,1
83319,0,0.0001,0
750130,0,0.0001,0
774834,1,1.0,1
246937,0,0.0001,0
638542,1,1.0,1
869338,1,1.0,1
371235,0,0.0001,0
976216,0,0.0001,0
785311,0,0.0001,0
850722,1,1.0,1
387197,0,0.0001,0
794441,1,1.0,1
225750,0,0.0001,0
521204,0,0.0001,0
280557,0,0.0001,0
859876,0,0.0001,0
58185,1,1.0,1
939548,1,1.0,1
575221,0,0.0001,0
677059,0,0.0001,0
772312,1,1.0,1
795336,1,1.0,1
519928,0,0.0001,0
927496,0,0.0001,0
806577,0,0.0001,0
427910,1,1.0,1
653781,0,0.0001,0
888738,1,1.0,1
444444,0,0.0001,0
350616,1,1.0,1
728385,1,1.0,1
491361,0,0.0001,0
427784,1,1.0,1
1045631,1,1.0,1
610579,1,1.0,1
978259,0,0.0001,0
282357,0,0.0001,0
943735,0,0.0001,0
945460,0,0.0001,0
597788,0,0.0001,0
490990,1,1.0,1
708180,0,0.0001,0
62710,1,1.0,1
69983,1,1.0,1
89972,1,1.0,1
388798,0,0.0001,0
783737,1,1.0,1
176289,1,1.0,1
863047,1,1.0,1
67744,1,1.0,1
250590,1,1.0,1
184499,0,0.0001,0
813908,0,0.0001,0
952946,1,1.0,1
551083,1,1.0,1
964846,0,0.0001,0
642954,1,1.0,1
204912,0,0.0001,0
331875,1,1.0,1
90044,1,1.0,1
752060,1,1.0,1
158452,0,0.0001,0
651106,0,0.0001,0
522156,1,1.0,1
522689,0,0.0001,0
137859,0,0.0001,0
168591,0,0.0001,0
825545,1,1.0,1
742882,1,1.0,1
805349,1,1.0,1
354502,0,0.0001,0
906286,1,0.9999,1
389227,0,0.0001,0
473846,1,1.0,1
121408,0,0.0001,0
789542,0,0.0001,0
29469,0,0.0001,0
156783,0,0.0001,0
653304,1,1.0,1
699137,1,1.0,1
237652,0,0.0001,0
132904,1,1.0,1
193634,1,1.0,1
12911,1,1.0,1
127393,1,1.0,1
22148,1,1.0,1
764222,0,0.0001,0
643665,0,0.0001,0
19997,0,0.0001,0
1002582,0,0.0001,0
84030,1,1.0,1
768433,1,1.0,1
534588,1,1.0,1
482507,1,1.0,1
780659,1,1.0,1
332444,1,1.0,1
504328,1,1.0,1
933041,1,1.0,1
898361,1,1.0,1
23281,0,0.0001,0
172735,1,1.0,1
600635,1,1.0,1
1034898,0,0.0001,0
341029,0,0.0001,0
997327,0,0.0001,0
568707,0,0.0001,0
268963,0,0.0001,0
280098,1,1.0,1
951909,0,0.0001,0
1013893,1,1.0,1
358374,1,1.0,1
422303,1,1.0,1
819281,1,1.0,1
997809,0,0.0001,0
656010,0,0.0001,0
728645,0,0.0001,0
768971,0,0.0001,0
153588,0,0.0001,0
72457,1,1.0,1
119534,1,1.0,1
21895,0,0.0001,0
147096,0,0.0001,0
570503,0,0.0001,0
266100,0,0.0001,0
92513,1,1.0,1
977387,1,1.0,1
1041870,1,1.0,1
253940,0,0.0001,0
314372,0,0.0001,0
413794,0,0.0001,0
90752,0,0.0001,0
822815,1,1.0,1
910645,0,0.0001,0
440964,1,1.0,1
702861,0,0.0001,0
129467,0,0.0001,0
952380,1,1.0,1
677106,0,0.0001,0
973975,0,0.0001,0
650466,0,0.0001,0
635442,1,1.0,1
373195,0,0.0001,0
340329,0,0.0001,0
430059,0,0.0001,0
956100,0,0.0001,0
633193,0,0.0001,0
880635,1,1.0,1
354548,1,1.0,1
526139,0,0.0001,0
217392,0,0.0001,0
392463,1,1.0,1
583272,0,0.0001,0
335877,0,0.0001,0
1043225,1,1.0,1
490522,0,0.0001,0
741076,1,1.0,1
711030,1,1.0,1
711177,1,1.0,1
40017,1,1.0,1
486073,1,1.0,1
286914,1,1.0,1
244239,0,0.0001,0
468522,0,0.0001,0
545556,0,0.0001,0
584841,1,1.0,1
357832,1,1.0,1
369076,0,0.0001,0
284750,0,0.0001,0
838508,1,1.0,1
780638,0,0.0001,0
198627,1,1.0,1
994620,0,0.0001,0
367992,0,0.0001,0
356362,0,0.0001,0
927551,1,1.0,1
907923,0,0.0001,0
781368,0,0.0001,0
487057,1,1.0,1
812922,0,0.0001,0
903893,1,1.0,1
545618,1,1.0,1
792570,1,1.0,1
415955,0,0.0001,0
132334,0,0.0001,0
554187,1,1.0,1
870904,0,0.0001,0
198016,0,0.0001,0
976384,1,1.0,1
875595,1,1.0,1
592801,1,1.0,1
3731,0,0.0001,0
541001,0,0.0001,0
762719,1,1.0,1
657025,1,1.0,1
954391,0,0.0001,0
227627,1,1.0,1
172433,1,1.0,1
13140,1,1.0,1
635124,0,0.0001,0
404098,0,0.0001,0
108601,1,1.0,1
945399,0,0.0001,0
115448,0,0.0001,0
592936,1,1.0,1
221382,0,0.0001,0
984530,0,0.0001,0
322242,0,0.0001,0
775508,0,0.0001,0
52181,0,0.0001,0
854314,0,0.0001,0
49684,1,1.0,1
58943,1,1.0,1
210554,1,1.0,1
254801,0,0.0001,0
501691,0,0.0001,0
445137,0,0.0001,0
757873,0,0.0001,0
295038,0,0.0001,0
432915,0,0.0001,0
432960,1,1.0,1
710547,1,1.0,1
713704,0,0.0001,0
453397,0,0.0001,0
594013,1,1.0,1
90418,0,0.0001,0
679151,1,1.0,1
134396,0,0.0001,0
150584,0,0.0001,0
479275,1,1.0,1
319602,0,0.0001,0
377173,1,1.0,1
1023906,1,1.0,1
1013525,1,1.0,1
97487,1,1.0,1
360316,0,0.0001,0
769398,1,1.0,1
985840,1,1.0,1
729321,0,0.0001,0
289100,1,1.0,1
704633,0,0.0001,0
443944,1,1.0,1
1042859,0,0.0001,0
222621,1,1.0,1
37157,0,0.0001,0
578963,0,0.0001,0
34161,0,0.0001,0
784576,0,0.0001,0
163528,1,1.0,1
24270,1,1.0,1
435484,0,0.0001,0
781511,1,1.0,1
431417,1,1.0,1
681536,1,1.0,1
1044318,0,0.0001,0
1491,1,1.0,1
374435,0,0.0001,0
609007,0,0.0001,0
66116,0,0.0001,0
531692,1,1.0,1
291621,1,1.0,1
987501,0,0.0001,0
120805,0,0.0001,0
581754,1,1.0,1
977760,1,1.0,1
494028,1,1.0,1
761923,0,0.0001,0
53719,1,1.0,1
296918,0,0.0001,0
441948,1,1.0,1
779631,1,1.0,1
862613,0,0.0001,0
273143,0,0.0001,0
188750,0,0.0001,0
17018,1,1.0,1
1025152,1,1.0,1
718223,1,1.0,1
992379,0,0.0001,0
359918,1,1.0,1
841687,0,0.0001,0
389874,0,0.0001,0
543510,0,0.0001,0
57788,1,1.0,1
679678,0,0.0001,0
123539,0,0.0001,0
961989,1,1.0,1
431031,0,0.0001,0
264980,1,1.0,1
1004094,1,1.0,1
318283,0,0.0001,0
621082,0,0.0001,0
917488,0,0.0001,0
1030972,0,0.0001,0
100633,0,0.0001,0
117960,1,1.0,1
409024,1,1.0,1
721207,1,1.0,1
3620,0,0.0001,0
987585,1,1.0,1
281066,0,0.0001,0
783108,1,1.0,1
446171,0,0.0001,0
44668,0,0.0001,0
84504,0,0.0001,0
206155,1,1.0,1
374002,0,0.0001,0
788810,0,0.0001,0
96307,0,0.0001,0
68178,0,0.0001,0
126723,1,1.0,1
681485,1,1.0,1
489952,0,0.0001,0
126015,1,1.0,1
789744,0,0.0001,0
59113,0,0.0001,0
982210,0,0.0001,0
518056,0,0.0001,0
317025,1,1.0,1
764545,0,0.0001,0
806764,0,0.0001,0
33776,0,0.0001,0
82857,0,0.0001,0
733240,1,1.0,1
591199,1,1.0,1
313677,1,1.0,1
781637,1,1.0,1
761959,0,0.0001,0
48268,0,0.0001,0
784539,0,0.0001,0
866982,0,0.0001,0
363328,0,0.0001,0
365822,1,1.0,1
759534,1,1.0,1
20905,0,0.0001,0
31607,1,1.0,1
27314,0,0.0001,0
1036289,0,0.0001,0
62153,0,0.0001,0
110647,1,1.0,1
407502,1,1.0,1
837635,0,0.0001,0
696930,0,0.0001,0
977232,0,0.0001,0
289198,0,0.0001,0
706362,1,1.0,1
908709,1,1.0,1
672002,0,0.0001,0
87844,1,1.0,1
813899,0,0.0001,0
814419,0,0.0001,0
813022,0,0.0001,0
310453,1,1.0,1
960995,1,1.0,1
538774,0,0.0001,0
702904,0,0.0001,0
596834,1,1.0,1
890929,1,1.0,1
24376,1,1.0,1
362600,0,0.0001,0
139881,0,0.0001,0
805564,0,0.0001,0
757316,1,1.0,1
360235,1,1.0,1
480588,1,1.0,1
1034386,1,1.0,1
944773,0,0.0001,0
228764,1,1.0,1
519552,1,1.0,1
597295,1,1.0,1
430618,0,0.0001,0
791991,0,0.0001,0
646541,1,1.0,1
149822,1,0.9998,1
449578,0,0.0001,0
267731,1,1.0,1
708586,1,1.0,1
529591,0,0.0001,0
423280,1,1.0,1
151893,0,0.0001,0
257135,1,1.0,1
484795,0,0.0001,0
691342,1,1.0,1
231525,1,1.0,1
319214,1,1.0,1
196090,1,1.0,1
531620,0,0.0001,0
942264,0,0.0001,0
937775,1,1.0,1
17537,0,0.0001,0
759508,0,0.0001,0
272190,0,0.0001,0
854156,1,1.0,1
412848,1,1.0,1
68985,1,1.0,1
539514,0,0.0001,0
795082,1,1.0,1
1014290,0,0.0001,0
815166,1,1.0,1
440553,1,1.0,1
904579,1,1.0,1
727900,1,1.0,1
112832,1,1.0,1
967003,1,1.0,1
209887,1,1.0,1
591508,1,1.0,1
459687,1,1.0,1
1019816,0,0.0001,0
716741,0,0.0001,0
1048856,1,1.0,1
486714,1,1.0,1
814830,0,0.0001,0
150157,1,1.0,1
422736,0,0.0001,0
173454,1,1.0,1
767089,1,1.0,1
188066,0,0.0001,0
614523,1,1.0,1
93043,0,0.0001,0
900088,0,0.0001,0
31177,0,0.0001,0
203021,1,1.0,1
836252,1,1.0,1
575483,1,1.0,1
120568,1,1.0,1
641001,0,0.0001,0
565445,0,0.0001,0
695916,1,1.0,1
734958,0,0.0001,0
123033,0,0.0001,0
47312,0,0.0001,0
772461,0,0.0001,0
580710,0,0.0001,0
703719,1,1.0,1
170608,0,0.0001,0
542921,0,0.0001,0
464708,1,1.0,1
653900,0,0.0001,0
767176,1,1.0,1
768294,1,1.0,1
693897,0,0.0001,0
204625,1,1.0,1
483696,1,1.0,1
652213,0,0.0001,0
61746,1,1.0,1
283701,1,1.0,1
175435,1,1.0,1
688939,0,0.0001,0
553155,1,1.0,1
304557,0,0.0001,0
137357,0,0.0001,0
641377,1,1.0,1
159675,0,0.0001,0
672631,0,0.0001,0
1023312,1,1.0,1
430202,1,1.0,1
950271,1,1.0,1
185982,1,1.0,1
594820,1,1.0,1
934954,1,1.0,1
683598,0,0.0001,0
890553,1,1.0,1
592358,1,1.0,1
628612,0,0.0001,0
191115,0,0.0001,0
770803,1,1.0,1
771011,1,1.0,1
845026,1,1.0,1
942972,0,0.0001,0
707230,1,1.0,1
637048,1,1.0,1
785422,0,0.0001,0
785898,1,1.0,1
568578,1,0.9999,1
950448,0,0.0001,0
685876,0,0.0001,0
4902,0,0.0001,0
209927,1,1.0,1
377413,0,0.0001,0
297947,0,0.0001,0
674115,1,1.0,1
698027,0,0.0001,0
529409,1,1.0,1
930403,1,1.0,1
907727,0,0.0001,0
152982,0,0.0001,0
410486,1,1.0,1
836655,1,1.0,1
209953,1,1.0,1
523867,1,1.0,1
639628,1,1.0,1
228108,1,1.0,1
483553,0,0.0001,0
205469,0,0.0001,0
831739,1,1.0,1
499681,0,0.0001,0
379760,1,1.0,1
774204,0,0.0001,0
274679,1,1.0,1
718982,1,1.0,1
902839,1,1.0,1
779700,0,0.0001,0
605845,1,1.0,1
920701,0,0.0001,0
999384,0,0.0001,0
442037,0,0.0001,0
531272,0,0.0001,0
719837,0,0.0001,0
488476,0,0.0001,0
183012,1,1.0,1
60521,0,0.0001,0
980089,0,0.0001,0
436570,0,0.0001,0
934804,0,0.0001,0
159851,1,1.0,1
221995,1,1.0,1
348400,0,0.0001,0
805046,0,0.0001,0
526557,1,1.0,1
213402,0,0.0001,0
703332,0,0.0001,0
795458,1,1.0,1
259802,1,1.0,1
1021063,1,1.0,1
448885,0,0.0001,0
168775,1,1.0,1
702323,1,1.0,1
155807,1,1.0,1
475254,0,0.0001,0
356638,0,0.0001,0
101357,0,0.0001,0
84241,1,1.0,1
491600,1,1.0,1
170251,1,1.0,1
314015,1,1.0,1
65272,1,1.0,1
482233,1,1.0,1
479826,1,1.0,1
178772,1,1.0,1
838033,0,0.0001,0
739136,0,0.0001,0
27872,1,1.0,1
224537,1,1.0,1
49932,0,0.0001,0
925181,1,1.0,1
246789,1,1.0,1
711783,0,0.0001,0
503613,1,1.0,1
187014,1,1.0,1
99868,0,0.0001,0
1000905,0,0.0001,0
39832,1,1.0,1
121152,0,0.0001,0
843639,1,1.0,1
856592,0,0.0001,0
382253,1,1.0,1
460147,0,0.0001,0
470906,1,1.0,1
222708,0,0.0001,0
944964,1,1.0,1
662406,1,1.0,1
380194,1,1.0,1
671723,0,0.0001,0
413328,1,1.0,1
700715,1,1.0,1
528838,0,0.0001,0
826248,1,1.0,1
883859,0,0.0001,0
400031,0,0.0001,0
1014134,0,0.0001,0
51230,0,0.0001,0
207846,1,1.0,1
341448,1,1.0,1
322597,1,1.0,1
118910,1,1.0,1
321105,1,1.0,1
913039,0,0.0001,0
168398,1,1.0,1
1034364,0,0.0001,0
553929,0,0.0001,0
824947,1,1.0,1
800987,0,0.0001,0
752731,1,1.0,1
95607,1,1.0,1
109382,1,1.0,1
555607,0,0.0001,0
868262,0,0.0001,0
1010576,1,1.0,1
673481,0,0.0001,0
313515,0,0.0001,0
829472,0,0.0001,0
290937,0,0.0001,0
506410,0,0.0001,0
226793,0,0.0001,0
824176,0,0.0001,0
553943,1,1.0,1
516343,0,0.0001,0
223061,0,0.0001,0
592679,1,1.0,1
292798,0,0.0001,0
397846,0,0.0001,0
933260,1,1.0,1
918245,0,0.0001,0
110511,1,1.0,1
1025502,0,0.0001,0
1048906,1,1.0,1
321040,0,0.0001,0
247637,1,1.0,1
977247,0,0.0001,0
325632,1,1.0,1
284851,0,0.0001,0
441797,0,0.0001,0
596279,0,0.0001,0
67909,0,0.0001,0
109745,1,1.0,1
135525,1,1.0,1
426680,1,1.0,1
89268,0,0.0001,0
585682,1,1.0,1
640609,0,0.0001,0
865971,1,1.0,1
350948,1,1.0,1
1031782,0,0.0001,0
298656,0,0.0001,0
777703,1,1.0,1
3748,1,1.0,1
788303,1,1.0,1
677882,1,1.0,1
362775,1,1.0,1
383907,1,1.0,1
829715,1,1.0,1
934810,0,0.0001,0
430738,0,0.0001,0
388572,1,1.0,1
