ID,聚类标签,业务分区,NM,PCI,AADT,R,IRI
346425,0,一般维护区,0,49.27,26332.0,15.48,0.55
665995,2,急需维护区,1,36.55,26454.0,19.18,0.82
417090,0,一般维护区,0,59.34,18933.0,11.02,0.67
450143,0,一般维护区,0,82.01,1312.0,13.65,0.46
87426,0,一般维护区,0,86.06,20608.0,12.12,0.66
794650,1,急需维护区,1,32.28,1636.0,17.69,1.35
668085,0,一般维护区,0,92.63,1817.0,12.49,0.85
384275,0,一般维护区,0,77.57,7230.0,13.02,1.08
150527,1,急需维护区,1,62.09,11291.0,19.55,1.18
564962,0,一般维护区,0,99.5,1483.0,16.31,0.74
421759,0,一般维护区,0,69.45,7773.0,12.63,0.61
585291,0,一般维护区,0,46.49,2388.0,13.89,0.71
860703,0,一般维护区,0,87.36,1462.0,14.34,0.55
717975,2,急需维护区,1,47.12,51497.0,18.38,0.95
10721,2,急需维护区,1,46.42,25602.0,18.76,1.17
193242,0,一般维护区,0,89.11,31537.0,12.75,0.86
684462,1,急需维护区,1,7.97,4447.0,18.34,1.02
906926,1,急需维护区,1,14.34,12039.0,19.08,0.69
428394,0,一般维护区,0,73.6,24832.0,13.93,1.02
594162,1,急需维护区,1,53.51,4287.0,21.2,1.07
726700,0,一般维护区,0,95.51,2412.0,12.37,0.42
647800,0,一般维护区,0,70.74,2096.0,12.05,0.88
858848,1,急需维护区,1,19.51,15224.0,19.58,1.36
381346,0,一般维护区,0,89.53,411.0,9.63,0.32
572058,1,急需维护区,1,43.02,7442.0,19.7,0.97
32622,0,一般维护区,0,59.16,25131.0,14.8,0.84
852739,2,急需维护区,0,85.03,30435.0,15.67,0.88
612757,1,急需维护区,1,26.78,4517.0,18.26,0.74
924042,0,一般维护区,0,81.56,2618.0,12.72,0.59
622955,1,急需维护区,1,47.62,20057.0,19.67,1.08
522873,0,一般维护区,0,60.6,574.0,11.9,0.49
589715,2,急需维护区,1,12.03,31268.0,18.66,0.8
430753,0,一般维护区,0,92.17,-1096.0,14.21,0.65
753165,0,一般维护区,0,81.04,26494.0,14.42,0.82
929015,0,一般维护区,0,75.62,26968.0,13.89,0.81
442326,1,急需维护区,1,23.64,180.0,18.8,1.11
788593,0,一般维护区,0,94.87,5310.0,14.81,0.55
334749,0,一般维护区,0,76.0,443.0,15.82,0.58
756198,1,急需维护区,1,14.06,3660.0,17.56,0.7
923875,0,一般维护区,0,83.98,11589.0,14.67,0.52
469796,0,一般维护区,0,86.57,20699.0,18.02,0.51
271579,0,一般维护区,0,91.88,17122.0,13.82,0.7
817107,1,急需维护区,1,22.96,23320.0,17.98,1.01
121174,0,一般维护区,0,87.17,7213.0,13.59,0.51
731756,0,一般维护区,0,72.2,8799.0,12.59,0.76
730463,0,一般维护区,0,96.56,1088.0,15.16,0.33
276577,1,急需维护区,1,58.39,11409.0,20.32,0.86
373897,1,急需维护区,1,9.41,5705.0,20.11,0.57
30447,1,急需维护区,1,50.92,12788.0,19.06,0.71
390022,0,一般维护区,0,69.0,23920.0,14.71,0.36
767981,2,急需维护区,1,29.2,45874.0,19.39,1.18
33333,0,一般维护区,0,100.0,793.0,14.44,0.96
718336,0,一般维护区,0,74.09,1821.0,15.43,1.01
562374,0,一般维护区,0,79.42,1113.0,13.99,0.74
264505,0,一般维护区,0,99.22,2016.0,14.16,0.59
313026,1,急需维护区,1,24.32,2863.0,18.63,0.87
579884,0,一般维护区,0,74.1,5284.0,12.12,0.56
145631,2,急需维护区,0,57.19,20795.0,16.04,1.2
852433,1,急需维护区,1,45.83,1661.0,21.2,1.44
1013237,1,急需维护区,1,15.95,1521.0,18.87,1.12
485010,1,急需维护区,1,58.14,4347.0,19.08,0.66
196114,2,急需维护区,1,17.15,41749.0,19.7,1.13
827241,2,急需维护区,0,70.83,50220.0,16.74,0.84
304812,1,急需维护区,1,57.06,14085.0,19.22,0.57
931631,1,急需维护区,1,21.67,1855.0,18.88,1.27
596707,0,一般维护区,0,72.36,16472.0,12.62,0.55
747342,0,一般维护区,0,75.7,140.0,14.04,0.94
282988,0,一般维护区,0,77.99,4304.0,13.52,0.75
538646,0,一般维护区,0,81.39,12510.0,11.53,0.24
933108,1,急需维护区,1,35.57,989.0,20.95,0.72
450139,1,急需维护区,1,44.47,2624.0,20.01,0.84
264279,1,急需维护区,1,30.67,11120.0,16.72,1.04
164166,1,急需维护区,1,36.43,11635.0,19.47,1.07
794550,0,一般维护区,0,92.59,6452.0,13.94,0.7
763066,1,急需维护区,1,22.65,5962.0,17.92,0.9
916891,1,急需维护区,1,0.0,2287.0,18.12,1.32
599196,0,一般维护区,0,100.0,997.0,15.64,0.98
780221,1,急需维护区,1,1.87,2018.0,19.2,1.06
204980,0,一般维护区,0,71.93,17685.0,13.34,0.65
867307,1,急需维护区,1,49.29,5720.0,16.87,1.07
845682,0,一般维护区,0,95.37,5197.0,14.43,0.36
525700,2,急需维护区,0,100.0,31527.0,16.07,0.86
686971,1,急需维护区,1,49.14,18172.0,20.02,0.85
137345,1,急需维护区,1,30.34,2918.0,18.77,1.09
540664,0,一般维护区,0,90.1,26174.0,14.2,0.7
42778,0,一般维护区,0,100.0,18621.0,15.81,1.07
783454,1,急需维护区,1,29.04,3265.0,20.13,1.04
752377,1,急需维护区,1,48.35,5560.0,21.28,0.85
629401,1,急需维护区,1,48.13,1644.0,20.0,0.77
578613,2,急需维护区,0,89.29,36325.0,16.36,0.61
855250,0,一般维护区,0,76.93,21425.0,11.37,1.12
331137,2,急需维护区,0,59.5,42175.0,16.6,1.14
928201,1,急需维护区,1,48.42,1682.0,19.1,0.63
179638,2,急需维护区,0,49.59,30929.0,14.72,1.0
1044875,1,急需维护区,1,32.18,4854.0,18.11,1.09
488203,1,急需维护区,1,13.52,2832.0,18.94,1.16
389314,0,一般维护区,0,84.24,26836.0,14.05,0.63
731211,0,一般维护区,0,86.09,15153.0,14.06,0.58
758114,1,急需维护区,1,57.38,2794.0,18.17,0.71
455827,1,急需维护区,1,53.13,1379.0,19.44,0.72
584889,2,急需维护区,1,28.36,38456.0,20.48,0.77
793411,0,一般维护区,0,92.98,20300.0,15.2,0.69
55108,0,一般维护区,0,78.1,2446.0,13.1,0.68
340036,2,急需维护区,0,66.63,30754.0,14.64,0.89
480673,0,一般维护区,0,80.34,27025.0,13.64,0.8
631487,2,急需维护区,1,38.76,27859.0,20.42,0.73
192179,1,急需维护区,1,34.12,2649.0,17.87,0.93
373603,1,急需维护区,1,0.0,2200.0,19.64,0.99
452412,1,急需维护区,1,23.2,3073.0,17.11,0.62
844106,1,急需维护区,1,61.3,1173.0,19.52,1.43
897538,1,急需维护区,1,24.3,17374.0,19.37,0.77
647804,2,急需维护区,1,45.87,32784.0,19.25,1.25
366617,1,急需维护区,1,0.0,164.0,19.24,0.84
585517,0,一般维护区,0,98.24,9965.0,15.08,0.92
632517,0,一般维护区,0,53.55,662.0,13.86,0.71
742798,1,急需维护区,1,30.26,20735.0,19.79,1.15
384901,1,急需维护区,1,18.67,22099.0,19.12,0.82
665111,1,急需维护区,1,20.73,13518.0,18.84,0.75
460539,0,一般维护区,0,100.0,22504.0,15.07,0.91
558546,2,急需维护区,0,79.23,36995.0,16.98,0.54
853536,0,一般维护区,0,68.54,10138.0,14.55,0.17
7564,0,一般维护区,0,80.32,4039.0,14.92,0.74
151315,1,急需维护区,1,11.15,16875.0,20.23,0.8
271411,1,急需维护区,1,54.07,9104.0,17.98,1.2
1043122,0,一般维护区,0,85.69,2883.0,13.68,0.78
412146,0,一般维护区,0,93.73,768.0,13.81,0.45
111450,1,急需维护区,1,22.13,4002.0,17.3,1.12
930121,1,急需维护区,1,17.44,21691.0,18.21,0.94
35773,1,急需维护区,1,53.23,15385.0,18.98,0.66
886591,1,急需维护区,1,6.83,1621.0,22.37,1.09
568463,1,急需维护区,1,13.41,2544.0,17.58,0.64
139131,0,一般维护区,0,86.58,2036.0,12.66,1.08
562617,0,一般维护区,0,83.29,4870.0,16.56,0.83
384271,0,一般维护区,0,100.0,678.0,12.18,1.01
796688,0,一般维护区,0,74.35,970.0,13.41,0.74
404412,1,急需维护区,1,29.76,2833.0,17.66,0.75
455859,0,一般维护区,0,67.91,9591.0,13.79,0.78
616116,1,急需维护区,1,32.84,2393.0,18.62,0.85
110426,0,一般维护区,0,72.89,9718.0,16.76,0.48
946341,1,急需维护区,1,25.6,4221.0,21.01,0.72
768682,1,急需维护区,1,62.85,3939.0,18.83,1.17
439748,0,一般维护区,0,76.53,411.0,14.38,0.6
676378,1,急需维护区,1,37.74,2908.0,18.48,1.05
869157,0,一般维护区,0,80.46,1849.0,14.0,0.72
19430,0,一般维护区,0,88.1,33000.0,13.52,0.71
552409,1,急需维护区,1,46.04,15179.0,18.64,0.95
366384,2,急需维护区,0,60.62,41030.0,15.22,0.85
499011,0,一般维护区,0,80.57,23442.0,13.92,0.89
1039540,0,一般维护区,0,85.07,11926.0,14.36,0.92
627980,1,急需维护区,1,21.78,1981.0,19.63,0.88
941862,0,一般维护区,0,87.43,11676.0,14.24,0.36
799715,0,一般维护区,0,70.49,10088.0,13.07,0.78
96957,1,急需维护区,1,27.1,14092.0,20.79,0.82
396268,0,一般维护区,0,58.59,2270.0,15.55,0.57
28113,0,一般维护区,0,67.66,4214.0,13.63,0.77
142571,0,一般维护区,0,70.99,3334.0,14.5,0.92
469373,1,急需维护区,1,44.83,3901.0,19.36,1.03
651431,0,一般维护区,0,75.6,22501.0,17.16,0.77
104643,2,急需维护区,1,63.61,81917.0,21.26,1.22
974426,1,急需维护区,1,30.41,8273.0,20.07,0.77
73247,2,急需维护区,0,63.79,34808.0,13.71,0.9
621789,0,一般维护区,0,100.0,6222.0,15.67,0.85
895981,1,急需维护区,1,0.0,4110.0,19.02,0.97
379504,0,一般维护区,0,63.15,7467.0,13.31,0.45
969124,0,一般维护区,0,57.93,2000.0,14.45,0.47
186042,0,一般维护区,0,90.37,6046.0,13.68,0.79
29400,0,一般维护区,0,78.76,24751.0,13.34,0.49
850142,0,一般维护区,0,91.45,25148.0,13.38,0.88
857422,0,一般维护区,0,82.48,10218.0,14.44,0.63
613189,1,急需维护区,1,32.52,2752.0,19.85,0.86
309274,2,急需维护区,0,70.57,32885.0,13.76,0.74
770101,1,急需维护区,1,55.59,9318.0,18.38,1.15
866437,1,急需维护区,1,47.23,2673.0,18.32,0.78
306707,0,一般维护区,0,59.25,25368.0,14.25,0.74
603795,0,一般维护区,0,82.84,1553.0,13.94,0.44
162257,0,一般维护区,0,81.7,2177.0,16.14,1.04
395369,1,急需维护区,1,34.24,24665.0,17.54,1.07
323526,0,一般维护区,0,74.68,26448.0,13.89,0.72
840891,0,一般维护区,0,85.0,20984.0,15.66,0.86
238345,0,一般维护区,0,100.0,8972.0,14.02,0.33
64248,2,急需维护区,1,49.66,59222.0,19.5,1.11
149705,0,一般维护区,0,59.44,27513.0,13.3,0.91
577634,1,急需维护区,1,18.15,2524.0,18.61,0.81
217925,0,一般维护区,0,78.91,853.0,15.02,0.6
695818,0,一般维护区,0,69.01,2054.0,14.67,0.82
895711,1,急需维护区,1,12.33,3665.0,19.36,0.69
922232,1,急需维护区,1,26.01,20006.0,19.01,0.91
914603,2,急需维护区,1,26.14,36939.0,20.74,1.08
696205,1,急需维护区,1,9.03,2413.0,19.98,1.04
253009,2,急需维护区,1,19.18,71632.0,19.88,1.03
497642,0,一般维护区,0,74.04,8614.0,13.14,0.69
493034,0,一般维护区,0,55.32,6410.0,14.43,0.96
351538,0,一般维护区,0,81.55,2553.0,13.68,0.81
500071,1,急需维护区,1,31.29,24106.0,20.46,0.86
816304,1,急需维护区,1,31.46,2972.0,19.14,0.59
939280,0,一般维护区,0,55.97,20440.0,14.82,0.87
409176,0,一般维护区,0,64.27,10130.0,14.94,0.63
446189,0,一般维护区,0,76.34,5367.0,15.3,0.72
798934,0,一般维护区,0,93.33,26604.0,15.72,0.41
50685,0,一般维护区,0,84.38,19872.0,14.47,1.08
283444,0,一般维护区,0,84.17,22373.0,14.58,0.98
381610,0,一般维护区,0,45.42,1943.0,12.07,0.64
227097,0,一般维护区,0,84.56,17999.0,14.07,0.84
669360,1,急需维护区,1,16.13,2431.0,19.25,0.75
875655,0,一般维护区,0,92.91,1474.0,12.29,0.52
1390,0,一般维护区,0,68.19,4137.0,11.83,0.82
491079,1,急需维护区,1,28.43,12049.0,18.33,1.15
8814,0,一般维护区,0,49.9,2483.0,11.94,0.39
368845,0,一般维护区,0,58.9,6903.0,16.66,0.81
352899,0,一般维护区,0,100.0,2169.0,12.05,0.53
1039083,0,一般维护区,0,100.0,9126.0,13.76,0.48
144368,0,一般维护区,0,95.77,6048.0,12.94,1.0
617510,0,一般维护区,0,71.99,4287.0,14.53,0.74
442559,2,急需维护区,0,65.32,43325.0,13.92,0.84
544670,1,急需维护区,1,31.52,5271.0,19.13,0.84
293266,0,一般维护区,0,61.09,1970.0,13.56,0.97
575876,2,急需维护区,0,72.97,30461.0,15.39,0.78
303626,0,一般维护区,0,100.0,1266.0,12.65,0.5
839236,1,急需维护区,1,29.16,939.0,20.7,0.54
690343,1,急需维护区,1,7.12,19250.0,18.64,0.57
42843,1,急需维护区,1,27.72,4079.0,20.04,1.0
463818,2,急需维护区,1,26.88,37139.0,18.54,1.09
1030842,2,急需维护区,1,45.59,42782.0,19.7,0.77
308618,2,急需维护区,1,14.42,38762.0,19.64,0.7
29395,2,急需维护区,0,86.93,46085.0,15.59,1.01
391808,0,一般维护区,0,88.24,28198.0,14.77,0.69
1004677,0,一般维护区,0,97.35,25104.0,15.65,0.82
37559,0,一般维护区,1,53.26,2864.0,17.24,0.7
973851,1,急需维护区,1,31.73,3505.0,19.01,1.14
586951,0,一般维护区,0,82.58,3614.0,13.69,0.51
200979,1,急需维护区,1,23.04,14833.0,21.15,1.26
824081,1,急需维护区,1,33.06,2326.0,18.49,1.11
121931,1,急需维护区,1,19.51,2130.0,19.25,0.99
356172,2,急需维护区,1,32.92,39835.0,19.21,1.17
1036417,0,一般维护区,0,100.0,1531.0,14.6,0.9
46209,0,一般维护区,1,64.51,2743.0,17.5,0.81
8863,1,急需维护区,1,64.19,5194.0,19.28,1.26
923742,1,急需维护区,1,13.85,3235.0,19.85,0.71
265242,1,急需维护区,1,23.01,1614.0,19.51,0.88
357400,0,一般维护区,0,91.31,10346.0,15.34,0.94
680277,0,一般维护区,0,60.74,6738.0,13.8,0.56
490171,2,急需维护区,1,59.21,23792.0,19.4,1.1
634482,1,急需维护区,0,56.08,7989.0,16.67,0.87
186279,1,急需维护区,1,19.53,3289.0,19.12,0.54
1027057,0,一般维护区,0,100.0,1452.0,14.46,0.65
58764,1,急需维护区,1,49.64,5656.0,19.83,1.09
816566,0,一般维护区,0,76.63,10436.0,14.78,0.89
96576,0,一般维护区,0,97.51,25536.0,14.22,0.98
657621,1,急需维护区,1,0.22,12915.0,19.46,0.81
301915,2,急需维护区,0,41.39,31850.0,16.02,0.7
884358,0,一般维护区,0,79.03,990.0,13.17,0.65
156986,1,急需维护区,1,13.42,4074.0,20.09,0.95
816686,2,急需维护区,0,74.21,36881.0,15.46,0.69
285971,0,一般维护区,0,73.48,7130.0,13.12,0.8
734578,1,急需维护区,0,72.24,1214.0,15.38,1.22
251101,1,急需维护区,1,21.07,2648.0,18.69,0.92
533582,0,一般维护区,0,90.86,1621.0,13.93,0.78
81541,0,一般维护区,0,86.49,25420.0,13.97,1.02
1045735,0,一般维护区,0,62.92,269.0,12.56,0.51
237687,0,一般维护区,0,100.0,8928.0,13.74,0.82
516197,2,急需维护区,0,80.27,29796.0,15.61,1.0
706434,0,一般维护区,0,62.12,2012.0,12.69,0.74
715466,1,急需维护区,1,12.4,3508.0,19.24,0.99
131459,0,一般维护区,0,72.32,215.0,14.91,0.98
181230,2,急需维护区,1,54.52,46341.0,18.92,1.11
813508,1,急需维护区,1,50.83,4401.0,20.8,0.71
228651,0,一般维护区,0,82.61,952.0,10.81,0.4
487967,0,一般维护区,0,53.07,11501.0,16.41,0.31
671539,0,一般维护区,0,67.92,1086.0,14.97,0.75
494466,0,一般维护区,0,52.49,208.0,14.81,0.73
752049,1,急需维护区,1,15.35,2300.0,17.14,1.18
945610,1,急需维护区,1,26.87,617.0,19.0,1.1
629907,0,一般维护区,0,82.13,26684.0,16.49,0.78
468916,0,一般维护区,0,85.47,2687.0,12.16,0.74
631349,1,急需维护区,1,52.53,6299.0,20.48,1.01
627823,0,一般维护区,0,95.8,32781.0,14.75,0.65
731254,1,急需维护区,1,38.19,3887.0,19.66,1.42
463717,0,一般维护区,0,79.76,2153.0,12.88,0.83
867384,2,急需维护区,0,100.0,24322.0,16.97,1.03
470162,1,急需维护区,1,36.83,2403.0,19.77,1.08
189230,1,急需维护区,1,32.42,1051.0,18.1,0.74
959187,0,一般维护区,0,84.9,7194.0,12.96,0.37
859366,0,一般维护区,0,95.81,2741.0,10.55,0.7
145175,1,急需维护区,1,27.0,3538.0,19.55,1.22
288594,0,一般维护区,0,91.0,22579.0,12.79,0.82
81570,1,急需维护区,1,29.88,10809.0,19.28,1.07
184721,2,急需维护区,0,74.31,31176.0,15.87,0.9
42183,1,急需维护区,1,35.84,3332.0,19.42,0.4
593683,0,一般维护区,0,62.67,6911.0,13.62,0.56
549950,1,急需维护区,1,41.85,12368.0,19.93,1.13
935647,2,急需维护区,1,17.81,71758.0,19.59,1.26
809771,0,一般维护区,0,77.02,2047.0,11.31,0.52
816230,0,一般维护区,0,47.72,853.0,10.29,0.43
381244,0,一般维护区,0,93.72,13094.0,14.38,0.77
335923,1,急需维护区,1,65.68,953.0,19.79,1.39
99275,2,急需维护区,0,76.47,31109.0,12.62,1.04
999728,0,一般维护区,0,100.0,703.0,12.15,0.65
982171,2,急需维护区,1,35.78,61074.0,18.45,1.14
234305,1,急需维护区,1,50.95,2443.0,19.59,0.49
127399,0,一般维护区,0,78.54,1688.0,13.46,0.78
921253,0,一般维护区,0,66.94,15213.0,12.89,0.71
538148,1,急需维护区,1,18.93,1195.0,18.48,0.99
914111,1,急需维护区,1,0.0,-264.0,18.51,1.16
478779,0,一般维护区,0,57.03,762.0,12.76,0.96
170775,0,一般维护区,0,82.2,15747.0,10.67,0.84
868958,2,急需维护区,0,74.23,48771.0,13.8,0.62
28405,1,急需维护区,1,26.08,2952.0,17.59,1.08
1020201,2,急需维护区,1,40.5,30316.0,17.65,0.91
83319,0,一般维护区,0,54.21,1403.0,12.51,0.84
750130,0,一般维护区,0,74.63,2166.0,12.8,0.65
774834,1,急需维护区,1,26.66,4269.0,18.84,0.82
246937,0,一般维护区,0,100.0,9021.0,13.32,0.57
638542,1,急需维护区,1,30.85,1677.0,19.75,0.94
869338,1,急需维护区,1,34.21,13144.0,20.49,1.09
371235,2,急需维护区,0,49.8,32590.0,15.04,0.97
976216,0,一般维护区,0,100.0,7864.0,13.44,1.02
785311,0,一般维护区,0,69.64,7370.0,14.27,0.92
850722,1,急需维护区,1,47.06,2678.0,19.13,0.71
387197,2,急需维护区,0,100.0,34493.0,14.34,0.95
794441,2,急需维护区,1,30.69,44244.0,20.72,1.04
225750,0,一般维护区,0,70.98,12066.0,13.53,0.7
521204,0,一般维护区,0,100.0,11150.0,14.38,0.9
280557,0,一般维护区,0,100.0,909.0,15.41,0.49
859876,0,一般维护区,0,99.33,4176.0,17.06,0.55
58185,1,急需维护区,1,25.66,8976.0,19.31,1.06
939548,1,急需维护区,1,29.81,10941.0,18.53,0.82
575221,0,一般维护区,0,74.35,33576.0,13.82,0.46
677059,0,一般维护区,0,90.94,2728.0,15.57,0.61
772312,1,急需维护区,1,39.1,4172.0,21.29,0.76
795336,1,急需维护区,1,6.53,2307.0,20.39,0.86
519928,0,一般维护区,0,83.17,21596.0,17.15,0.58
927496,0,一般维护区,0,57.88,4773.0,14.46,0.6
806577,0,一般维护区,0,83.73,1260.0,15.74,0.52
427910,1,急需维护区,1,54.43,1841.0,20.03,0.96
653781,0,一般维护区,0,84.5,3794.0,12.94,0.69
888738,1,急需维护区,1,38.87,1381.0,21.07,0.96
444444,0,一般维护区,0,51.53,9757.0,13.31,0.72
350616,2,急需维护区,1,54.73,48125.0,19.74,0.97
728385,1,急需维护区,1,12.19,15024.0,21.31,0.99
491361,0,一般维护区,0,87.08,1304.0,12.61,0.77
427784,1,急需维护区,1,0.0,3042.0,20.14,0.8
1045631,1,急需维护区,1,36.62,1538.0,18.5,0.64
610579,1,急需维护区,1,0.0,2987.0,16.7,0.7
978259,2,急需维护区,0,89.78,36331.0,17.48,0.69
282357,0,一般维护区,0,100.0,12467.0,14.7,0.9
943735,0,一般维护区,0,88.46,2986.0,13.47,0.63
945460,0,一般维护区,0,41.34,8694.0,12.8,0.72
597788,0,一般维护区,0,63.13,1388.0,13.78,0.77
490990,1,急需维护区,1,30.3,7188.0,21.17,0.83
708180,0,一般维护区,0,47.53,-23.0,15.65,0.55
62710,2,急需维护区,1,40.03,29449.0,19.16,1.26
69983,2,急需维护区,1,46.51,35122.0,19.27,1.28
89972,1,急需维护区,1,46.03,2597.0,18.84,1.21
388798,0,一般维护区,0,69.05,493.0,13.16,0.53
783737,1,急需维护区,1,16.15,16043.0,19.73,1.05
176289,1,急需维护区,1,0.0,971.0,18.39,1.02
863047,1,急需维护区,1,6.45,2777.0,20.1,0.92
67744,1,急需维护区,1,31.83,-503.0,19.42,1.3
250590,1,急需维护区,1,48.09,1690.0,21.37,1.05
184499,0,一般维护区,0,91.49,1063.0,13.34,0.57
813908,0,一般维护区,0,59.78,11503.0,12.82,0.79
952946,1,急需维护区,1,57.0,3000.0,18.6,1.22
551083,1,急需维护区,1,32.01,6049.0,18.04,1.17
964846,0,一般维护区,0,83.2,12194.0,14.57,0.86
642954,1,急需维护区,1,41.75,16062.0,17.55,1.14
204912,0,一般维护区,0,66.19,9479.0,14.41,0.49
331875,1,急需维护区,1,26.06,4150.0,19.36,1.04
90044,1,急需维护区,1,21.85,2648.0,18.82,1.29
752060,1,急需维护区,1,27.8,3921.0,17.42,0.92
158452,0,一般维护区,0,86.42,11162.0,14.39,1.04
651106,0,一般维护区,0,92.36,5427.0,12.64,0.63
522156,1,急需维护区,1,21.38,2203.0,19.06,0.91
522689,0,一般维护区,0,78.47,10793.0,13.19,0.65
137859,0,一般维护区,0,79.18,8217.0,14.09,0.65
168591,0,一般维护区,0,83.73,1575.0,13.02,0.58
825545,1,急需维护区,1,36.35,2937.0,17.07,1.1
742882,1,急需维护区,1,27.38,2226.0,19.09,1.0
805349,1,急需维护区,1,50.18,1789.0,19.41,0.89
354502,0,一般维护区,0,94.18,2083.0,12.37,0.71
906286,1,急需维护区,1,47.81,11795.0,16.43,0.88
389227,0,一般维护区,0,73.14,10670.0,13.5,1.11
473846,2,急需维护区,1,51.25,32920.0,20.02,1.32
121408,2,急需维护区,0,67.6,72119.0,15.66,0.74
789542,0,一般维护区,0,70.98,4794.0,12.65,0.6
29469,2,急需维护区,0,85.87,43911.0,14.18,0.99
156783,0,一般维护区,0,85.87,33545.0,14.69,0.44
653304,1,急需维护区,1,24.09,2830.0,20.68,0.9
699137,1,急需维护区,1,48.08,3046.0,18.72,1.0
237652,0,一般维护区,0,46.72,8709.0,14.62,0.7
132904,2,急需维护区,1,38.05,41344.0,21.68,0.46
193634,1,急需维护区,1,26.54,21448.0,19.04,1.05
12911,2,急需维护区,1,47.71,32658.0,20.34,0.9
127393,1,急需维护区,1,2.99,2146.0,19.48,1.28
22148,1,急需维护区,1,46.2,2946.0,17.65,1.01
764222,0,一般维护区,0,79.45,5739.0,15.08,0.75
643665,0,一般维护区,0,69.89,1786.0,13.68,0.71
19997,0,一般维护区,0,58.6,3038.0,11.54,0.58
1002582,0,一般维护区,0,74.13,2644.0,13.88,0.82
84030,1,急需维护区,1,24.48,3883.0,18.74,0.88
768433,1,急需维护区,1,25.22,16167.0,18.21,1.16
534588,1,急需维护区,1,47.44,1239.0,20.76,1.12
482507,2,急需维护区,1,43.91,35926.0,19.02,0.85
780659,1,急需维护区,1,25.56,16541.0,21.76,0.69
332444,1,急需维护区,1,44.75,19591.0,18.79,0.96
504328,1,急需维护区,1,13.25,2510.0,20.42,0.85
933041,1,急需维护区,1,34.69,3603.0,19.31,0.95
